aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,140,166,153,109,90,100,89,46,92,51,51,31,28,24,19,19,18,20,43,79,90,105,136,107
02,146,146,132,96,61,61,140,102,87,56,46,16,55,13,22,59,14,22,18,28,41,66,80,66
03,106,82,77,97,64,75,112,100,87,51,149,132,104,93,86,92,83,13,65,82,87,121,146,151
04,159,109,149,135,119,107,112,94,91,144,97,18,91,70,17,15,18,11,17,37,24,51,112,230
05,166,110,137,139,100,98,115,75,63,45,74,118,128,60,7,12,11,14,64,302,122,61,41,124
06,86,96,76,60,26,82,69,54,47,23,71,66,11,7,10,11,9,24,23,14,20,89,47,93
07,60,83,79,59,74,64,42,135,107,112,79,89,54,85,119,56,51,33,28,40,39,74,92,83
08,109,129,125,111,57,37,54,127,78,93,104,47,108,67,61,32,39,76,48,30,56,125,102,118
09,109,96,118,93,87,120,150,157,43,80,57,179,235,145,56,45,33,36,21,22,68,61,85,114
10,101,168,139,95,75,75,86,174,131,114,74,80,65,55,83,51,56,75,34,36,48,110,123,159
11,129,175,196,126,153,138,95,90,109,113,68,58,110,49,41,37,50,49,45,82,75,88,89,141
12,166,238,179,123,146,104,162,81,181,122,164,107,95,44,63,82,61,40,42,76,70,56,107,153
13,188,226,235,397,176,149,189,193,115,137,120,132,99,71,104,60,98,57,46,66,87,105,108,144
14,162,156,167,153,131,100,119,129,137,132,105,63,108,74,86,66,34,34,35,52,86,101,133,184
15,187,137,145,167,157,86,149,116,25,288,74,68,69,69,42,32,33,34,32,34,61,72,87,88
16,112,131,126,85,79,106,121,87,131,73,84,45,48,40,54,39,44,32,68,75,56,126,125,269
17,171,93,76,295,92,104,122,27,113,118,73,47,40,48,50,32,51,28,38,47,79,98,110,119
18,146,150,138,96,101,97,97,119,100,26,49,114,145,100,65,64,60,132,117,178,96,104,134,162
19,187,191,166,136,167,148,118,102,164,122,99,80,70,67,65,69,44,30,61,52,75,109,137,139
20,139,194,166,130,117,119,144,128,87,32,97,73,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,49,12,0,0,0,0,0
22,10,0,0,0,0,0,0,0,160,-1,-1,-1,2,0,0,-1,-1,-1,0,0,0,0,0,-1,-1
23,0,0,0,0,-1,1,0,0,0,13,0,-1,0,25,0,0,0,3,26,0,104,161,234,192
24,197,213,218,242,244,220,218,181,185,200,176,181,128,106,89,87,81,124,100,137,144,167,223,233
25,210,211,202,241,260,192,183,123,183,114,128,84,118,95,104,97,57,55,132,212,178,212,196,262
26,529,485,193,223,195,138,9,24,259,190,167,117,91,81,109,84,75,68,61,56,165,141,178,205
27,172,179,151,158,148,169,156,147,133,123,113,118,82,111,82,60,66,66,62,80,103,139,156,162
28,149,157,127,165,173,146,158,150,132,161,120,136,73,78,83,75,71,63,56,72,187,159,187,142
29,152,150,128,163,167,177,156,153,127,160,124,114,214,76,84,69,80,64,75,116,152,135,155,212
30,147,157,175,170,185,168,164,165,163,171,148,127,98,105,69,73,91,49,65,74,107,130,158,170
31,183,188,184,218,219,215,174,192,196,175,146,118,93,87,101,65,97,53,89,90,123,145,196,-1,-1
