aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,54,62,81,64,57,38,37,48,41,21,22,13,17,10,18,16,17,13,12,18,29,27,47,48
02,46,56,56,56,56,44,48,35,37,33,25,15,20,18,18,20,18,18,21,23,33,42,43,62
03,69,48,61,66,50,45,52,46,27,20,13,15,13,13,9,18,7,13,15,30,27,32,46,53
04,66,52,66,66,50,53,36,36,38,27,23,17,17,7,19,20,13,17,19,20,17,25,34,49
05,46,59,52,32,44,28,47,30,34,21,18,14,11,16,15,9,11,17,19,25,28,30,37,46
06,42,31,41,48,41,38,45,34,30,22,22,12,13,7,18,7,16,18,25,28,26,27,27,41
07,56,39,34,59,34,33,37,44,29,28,16,21,12,10,12,19,14,13,17,19,23,27,32,35
08,40,46,37,52,40,37,40,31,31,22,17,15,10,12,13,18,10,16,19,21,26,33,45,45
09,46,51,45,54,34,49,48,36,36,24,23,23,15,17,18,19,22,18,19,16,22,29,36,36
10,51,41,45,64,50,45,42,47,30,30,24,22,21,23,15,18,23,24,19,27,30,35,52,51
11,47,41,48,64,51,34,47,34,42,26,20,19,22,20,20,23,20,21,18,29,14,17,31,44
12,43,47,56,65,55,39,60,38,29,31,21,22,19,23,33,26,14,18,21,26,30,22,40,60
13,61,67,87,66,59,54,64,47,40,34,18,32,29,26,19,24,15,20,22,23,31,36,42,27
14,60,50,62,56,55,34,45,41,37,35,23,26,20,14,15,26,16,26,24,21,35,31,42,43
15,43,49,55,47,33,42,35,39,32,27,15,14,24,21,12,20,21,25,26,32,21,36,37,40
16,48,42,47,36,35,41,46,35,32,36,21,16,13,18,18,26,15,24,25,19,26,39,38,36
17,43,31,51,49,50,45,46,40,39,31,26,19,24,13,15,21,14,20,21,25,20,23,37,38
18,37,40,45,41,41,48,43,45,41,29,19,13,18,12,14,15,21,14,17,27,25,18,42,35
19,40,43,40,46,35,38,34,30,36,35,21,22,21,21,24,15,15,11,15,18,27,32,45,38
20,41,29,35,32,43,46,34,38,35,30,21,17,19,19,13,10,19,20,16,23,35,29,34,39
21,31,48,46,48,32,45,35,50,30,38,35,17,11,26,24,11,20,22,21,27,27,35,38,39
22,41,40,46,42,28,45,34,32,42,25,22,14,14,12,20,23,19,17,20,11,18,32,40,32
23,40,38,46,43,30,39,42,48,28,31,23,16,27,15,20,15,20,16,19,24,19,30,34,35
24,45,45,24,17,24,32,34,32,24,19,21,18,21,14,15,18,13,28,17,17,18,34,32,31
25,37,40,37,43,45,35,37,33,31,29,27,19,16,15,17,12,16,13,16,26,24,29,23,41
26,35,36,49,36,31,39,41,43,34,24,20,25,10,13,18,14,15,10,23,24,20,34,28,36
27,42,40,42,34,28,37,38,41,30,29,23,22,17,16,25,19,20,20,23,26,19,33,28,36
28,33,38,37,32,43,39,26,39,41,20,17,14,19,20,22,16,12,20,21,21,34,30,40,34
29,42,42,38,40,35,37,52,34,27,26,21,20,16,13,15,15,14,14,24,25,28,29,31,25
30,33,46,46,28,36,44,40,39,37,36,21,18,15,11,14,23,20,12,19,24,40,34,38,32
31,46,38,31,42,46,33,47,36,39,21,30,14,25,23,14,17,19,18,13,23,-1,-1,-1,-1,-1
