2016,338,-1,05/05,19/04,28/05,2.4,40,55
2015,338,-1,06/05,19/04,28/05,2.4,40,64
2014,338,-1,06/05,19/04,28/05,2.4,45,56
2013,338,-1,06/05,19/04,28/05,2.4,55,119
2012,338,-1,05/05,19/04,28/05,2.4,65,66
2011,338,-1,06/05,19/04,28/05,2.4,70,95
2010,338,-1,06/05,19/04,28/05,2.4,85,102
2007,338,-1,06/05,19/04,28/05,2.4,60,59
2006,338,-1,06/05,19/04,28/05,2.4,60,96
2005,338,-1,05/05,19/04,28/05,2.4,60,95
