mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,13,9,13,22,11,15,15,20,23,24,27,20,22,18,29,33,28,23,24,15,18,14,11,6
02,4,5,9,16,12,16,10,8,15,16,28,27,36,27,25,29,37,23,26,18,21,11,14,7
03,4,1,5,11,16,13,17,15,17,18,21,32,24,22,28,43,31,20,22,41,3,10,16,4
04,12,60,10,13,16,9,23,17,25,21,18,26,21,25,27,35,29,24,30,16,16,8,8,54
05,26,7,8,9,18,19,14,12,28,28,21,18,21,21,24,25,31,11,30,22,18,8,10,7
06,5,6,10,12,21,12,12,10,21,20,20,20,24,26,39,24,33,66,45,19,16,15,7,13
07,6,9,8,8,10,16,13,17,17,25,20,14,31,29,24,40,27,24,22,19,14,5,6,8
08,21,33,13,14,20,18,3,11,13,20,18,18,28,20,30,25,28,24,18,18,18,17,12,6
09,6,4,6,10,17,19,17,15,23,15,19,22,21,27,39,25,35,15,30,21,17,14,10,9
10,3,3,8,9,15,21,21,17,22,14,20,32,24,27,32,25,15,23,20,17,13,11,9,4
11,7,4,8,7,9,18,16,10,20,22,21,24,22,21,31,31,26,32,19,16,11,7,14,5
12,7,33,7,8,12,12,9,15,13,16,30,27,18,15,31,27,26,31,21,16,15,8,9,7
13,3,5,11,7,13,19,12,23,17,18,22,15,29,34,26,26,24,23,19,22,23,15,19,6
14,27,6,7,14,11,17,13,14,17,18,23,17,23,23,28,29,30,34,18,22,13,15,16,7
15,10,7,11,10,13,16,10,14,14,17,14,18,26,34,24,25,35,26,28,22,17,17,11,8
16,6,14,8,19,21,19,28,14,21,23,18,22,29,30,23,28,33,31,22,27,13,17,12,59
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3
18,5,13,3,12,13,24,36,13,25,30,24,30,31,31,47,26,36,29,20,29,16,70,18,7
19,6,3,9,12,13,12,25,12,20,15,20,27,28,22,35,32,43,40,25,19,12,14,13,9
20,8,4,13,7,16,19,12,19,16,9,23,13,32,22,40,34,30,36,30,21,17,39,34,11
21,8,11,3,11,10,14,13,13,13,20,27,29,22,24,31,29,41,30,35,12,12,14,12,6
22,5,9,8,12,20,16,14,26,14,14,24,26,27,22,27,29,33,18,61,22,27,17,6,5
23,9,14,11,12,19,18,10,18,19,17,32,27,27,20,33,35,39,33,25,22,22,21,9,7
24,10,9,18,7,20,25,21,26,21,22,23,30,28,30,35,43,37,34,21,11,28,25,11,6
25,8,10,8,10,15,22,17,16,18,19,28,26,24,39,26,27,25,26,23,19,17,9,41,28
26,6,12,10,16,25,26,12,19,17,17,23,31,34,25,27,32,24,29,25,14,19,21,7,16
27,8,6,8,12,27,12,7,13,12,20,17,14,25,21,26,32,23,29,23,27,34,26,5,5
28,5,3,8,10,8,20,12,22,21,15,29,16,19,18,14,22,27,22,19,20,18,29,16,14
29,5,7,4,9,11,16,11,16,19,20,24,21,29,17,14,37,16,33,13,18,22,7,14,8
30,5,1,8,20,12,26,18,20,22,20,26,19,20,32,17,26,22,22,13,18,25,20,7,10
31,7,8,8,9,12,11,10,10,16,24,15,16,16,15,17,12,25,20,21,17,16,16,12,9
