may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,85,86,63,76,120,131,157,134,129,131,99,78,61,72,77,82,56,30,24,23,34,37,69,92,""
02,82,94,72,92,98,122,142,138,136,92,84,75,64,70,67,47,27,34,27,27,39,50,63,72,""
03,71,75,67,70,86,117,153,142,150,112,70,40,-1,-1,31,67,33,20,22,22,27,45,57,60,""
04,57,63,67,88,135,150,154,159,135,105,81,67,44,63,66,51,46,21,16,29,38,39,49,84,""
05,54,78,100,107,137,181,113,-1,-1,-1,138,88,68,57,68,58,28,24,25,24,27,43,73,75,""
06,68,84,92,133,174,212,200,225,189,176,166,138,91,92,67,53,42,36,35,27,40,35,57,72,""
07,72,77,42,-1,-1,106,173,195,198,175,172,125,98,98,66,55,29,39,30,30,42,53,69,84,""
08,85,68,84,112,114,146,158,153,162,145,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,35,39,36,38,57,84,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,36,36,41,67,75,""
13,90,99,100,106,100,128,139,144,119,129,82,76,62,98,84,67,41,28,29,35,37,71,78,80,""
14,84,102,102,104,153,134,160,162,141,138,86,64,60,72,86,72,60,37,40,25,40,50,88,91,""
15,97,82,106,83,116,156,138,142,125,142,93,79,62,64,67,-1,57,31,29,29,29,58,63,79,""
16,99,107,90,78,101,137,129,129,146,102,80,55,65,63,73,56,57,54,30,49,63,59,99,102,""
17,127,115,101,112,154,182,185,192,175,137,101,82,100,56,89,70,45,46,38,46,51,65,78,104,""
18,100,93,39,124,132,161,123,147,87,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,""
19,18,27,26,33,32,34,37,25,47,39,32,25,33,54,29,35,13,22,9,18,38,13,23,18,""
20,33,35,34,26,32,50,50,50,66,73,49,43,42,53,62,35,26,18,10,6,14,20,20,27,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,88,63,27,""
22,40,45,54,77,60,61,51,56,60,61,41,41,57,52,58,36,31,29,22,12,36,36,44,55,""
23,66,72,95,80,75,83,100,119,102,97,73,59,46,58,34,27,43,33,29,25,30,33,58,55,""
24,73,71,75,76,110,120,115,124,94,97,79,47,41,53,48,36,31,23,23,21,21,30,49,49,""
25,63,65,73,61,78,84,99,106,84,50,44,34,32,27,37,31,28,15,16,14,10,27,21,26,""
26,38,39,46,43,48,19,-1,17,40,35,22,44,46,24,17,32,21,12,24,20,20,28,33,47,""
27,53,55,47,71,75,83,69,68,72,47,32,35,38,34,24,24,26,17,24,18,22,31,39,55,""
28,62,71,76,54,61,79,116,72,84,69,54,48,35,32,34,34,27,18,13,13,29,14,17,22,""
29,17,24,36,25,36,47,34,50,40,36,27,21,32,35,43,28,15,10,11,15,26,26,24,33,""
30,40,42,37,56,54,56,82,52,69,65,53,35,30,42,42,29,33,20,22,23,42,37,63,63,""
31,93,78,68,78,88,88,129,110,93,91,60,44,48,50,42,38,34,23,12,11,22,25,27,5,""
