Feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,110,83,97,64,88,126,155,156,115,151,99,126,119,146,110,92,105,72,48,66,107,94,107,127
2,101,85,131,139,121,80,55,46,67,80,111,91,70,8,6,30,54,103,107,14,5,4,2,-1,-1
3,7,8,2,44,35,69,166,141,153,152,157,123,123,104,90,49,13,1,37,15,1,5,48,10
4,1,-1,-1,1,-1,-1,-1,-1,1,4,5,34,36,13,13,13,17,64,22,11,8,22,15,24
5,11,2,3,8,20,150,132,95,9,7,-1,10,12,48,34,27,24,4,13,7,78,134,137,105
6,108,91,52,31,12,24,15,36,39,89,189,170,24,28,31,31,37,42,53,37,50,52,58,49
7,24,32,49,108,86,153,110,144,174,173,182,137,47,28,7,30,79,44,42,67,51,70,37,9
8,20,33,2,15,3,3,8,31,5,13,52,22,38,65,22,25,21,14,140,16,22,25,8,28
9,25,24,57,31,22,28,39,18,18,38,44,35,15,28,24,39,17,41,33,28,22,4,2,7
10,1,2,1,3,9,12,46,50,29,8,4,4,3,28,24,29,16,29,21,37,36,33,51,138
11,110,178,153,59,16,65,89,22,19,54,48,48,40,14,28,33,25,18,7,9,28,70,103,100
12,152,145,86,69,56,92,79,57,87,71,35,18,11,12,11,48,35,22,30,40,69,34,4,3
13,4,6,1,3,5,10,6,5,5,6,5,3,2,4,3,1,5,2,4,13,1,-1,1,3
14,2,9,5,11,21,7,15,17,16,13,10,11,29,37,31,8,12,21,25,26,24,45,32,26
15,22,20,19,18,37,37,35,51,68,44,45,64,89,81,71,85,98,66,45,54,57,23,62,64
16,38,28,48,58,66,30,5,27,75,94,101,75,115,80,90,100,77,93,98,68,50,55,63,75
17,41,49,65,58,84,43,79,116,86,97,71,121,116,131,122,124,139,134,78,69,34,49,49,35
18,38,100,124,102,90,151,184,160,161,152,124,140,138,128,85,92,115,103,107,75,83,42,23,4
19,56,50,122,132,91,179,165,162,162,199,189,150,78,132,120,121,115,146,118,51,66,89,106,33
20,8,5,8,16,20,22,36,56,50,86,74,79,37,24,30,41,50,55,23,7,15,15,12,10
21,22,20,27,23,26,37,59,69,105,139,111,92,27,25,41,48,65,89,57,67,66,84,137,107
22,79,121,74,40,38,57,29,39,31,16,41,27,23,33,40,55,33,46,45,65,59,55,32,18
23,9,21,5,13,8,6,7,4,6,6,7,3,19,15,14,11,21,80,76,81,114,132,70,71
24,21,4,4,4,6,11,4,5,10,12,5,8,8,7,19,17,12,33,28,30,16,33,16,28
25,12,15,19,35,54,33,15,12,21,14,21,12,19,11,22,16,19,33,37,32,30,19,17,32
26,43,11,7,11,7,43,54,28,41,50,25,16,29,17,18,30,37,29,36,32,14,40,35,68
27,52,34,139,101,55,39,29,4,7,6,5,6,3,12,13,39,95,25,3,-1,-1,1,-1,3
28,2,5,22,43,39,25,111,102,126,52,34,1,1,45,77,10,7,78,61,57,73,63,71,67
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
