may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,54,52,54,66,56,29,40,22,30,20,14,20,13,23,17,14,11,8,8,21,20,30,46,51,""
02,38,50,50,62,67,57,21,31,26,19,16,23,27,15,15,11,3,6,3,24,26,25,35,40,""
03,43,61,58,66,52,31,26,53,31,23,20,19,25,19,23,8,6,7,5,24,17,23,45,38,""
04,43,55,58,49,52,33,53,15,19,17,20,14,24,25,19,8,6,8,16,27,27,23,54,62,""
05,47,57,58,63,66,45,35,38,19,37,29,21,19,27,11,14,10,8,9,18,25,36,56,47,""
06,59,58,55,63,63,56,36,38,31,29,20,19,20,25,17,13,11,7,22,19,23,27,37,65,""
07,49,73,57,73,75,36,23,30,35,19,26,27,23,33,16,15,3,-1,-1,-1,-1,-1,-1,-1,""
08,-1,-1,-1,-1,-1,-1,-1,24,21,19,13,21,20,29,13,15,20,7,12,16,25,24,43,47,""
09,53,46,60,52,60,50,22,34,36,24,25,29,22,19,20,15,14,7,8,20,20,33,35,39,""
10,50,40,55,57,62,57,56,40,30,39,19,15,22,20,11,10,6,7,10,17,23,23,37,50,""
11,46,61,46,50,52,31,37,43,23,24,26,21,17,20,12,17,12,5,11,19,16,24,35,60,""
12,56,49,62,68,54,40,32,32,32,23,20,22,34,19,30,10,8,5,7,14,30,31,43,39,""
13,40,59,49,62,55,47,39,34,34,23,9,20,23,14,25,10,8,4,12,19,28,30,46,53,""
14,52,60,63,68,59,22,25,30,41,32,18,16,20,21,21,17,7,9,8,12,29,24,33,58,""
15,55,51,43,61,48,37,28,26,20,20,12,21,15,13,14,11,11,8,4,15,43,34,47,55,""
16,50,55,53,63,61,19,22,38,20,16,12,13,16,23,19,17,9,6,12,21,26,35,37,43,""
17,70,55,60,60,34,16,41,26,20,17,7,20,16,25,11,12,8,7,12,13,18,29,36,43,""
18,41,56,57,50,51,40,44,23,22,12,13,14,18,14,15,12,10,5,6,17,26,20,45,39,""
19,46,51,63,59,56,27,30,30,35,23,13,15,22,11,15,12,10,4,5,31,36,31,42,50,""
20,63,67,60,67,60,55,33,31,21,18,17,14,20,21,16,14,10,7,15,22,32,33,35,47,""
21,52,55,58,60,61,22,34,28,34,27,15,19,21,23,29,18,18,19,16,29,26,24,38,40,""
22,46,41,58,71,38,42,23,21,11,26,13,9,18,34,24,8,15,5,4,15,13,25,30,52,""
23,44,48,53,60,54,34,25,25,16,10,14,20,22,20,17,15,15,15,14,18,30,38,34,53,""
24,62,75,68,76,72,52,43,42,36,14,18,12,21,25,26,13,11,10,15,18,35,39,40,50,""
25,56,66,66,73,39,30,19,24,16,24,10,12,13,21,13,17,14,7,7,16,27,31,39,43,""
26,55,63,49,63,58,26,28,29,25,24,16,15,22,27,20,25,12,12,21,26,17,28,32,36,""
27,52,45,62,59,56,33,33,28,30,31,20,20,15,24,22,11,19,18,15,22,32,26,35,51,""
28,45,48,65,61,62,52,37,27,27,25,8,14,16,19,27,18,9,21,8,21,30,35,44,46,""
29,48,59,77,65,61,58,22,25,21,20,12,10,20,17,22,25,17,14,16,20,28,36,49,45,""
30,66,62,67,63,51,41,36,28,25,18,9,18,16,18,21,21,14,7,6,11,29,47,54,58,""
31,52,57,61,81,55,29,23,26,25,11,14,14,24,11,13,22,-1,-1,-1,-1,-1,-1,-1,-1,""
[E]o{'m,"kf`zIhz}{fehk'kl"
