may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,21,24,11,27,48,99,98,135,157,181,193,199,237,253,274,301,203,181,125,132,111,95,63,34,""
02,15,10,19,44,83,119,125,139,166,201,237,234,257,284,256,260,212,174,126,114,70,80,47,25,""
03,19,18,15,24,47,58,66,100,119,128,139,167,185,192,228,208,171,161,124,113,74,56,55,28,""
04,21,53,11,28,39,66,107,120,153,171,202,188,268,261,285,245,210,183,258,131,98,73,42,20,""
05,15,10,23,20,39,67,92,107,140,165,214,210,284,326,320,285,233,172,195,125,77,76,44,23,""
06,17,11,13,23,59,62,78,117,131,149,227,254,245,269,306,271,263,192,191,119,95,78,42,35,""
07,21,17,19,41,40,76,82,123,139,193,219,231,299,329,298,321,238,194,148,115,78,56,57,25,""
08,16,22,18,26,39,86,85,124,154,178,268,277,282,353,358,326,274,200,177,156,120,100,56,35,""
09,26,26,17,28,63,49,75,126,139,194,229,236,272,226,301,298,242,204,195,175,137,81,61,29,""
10,20,16,28,-1,-1,95,107,145,122,196,-1,-1,-1,-1,-1,-1,-1,199,132,106,122,87,73,34,""
11,15,12,17,23,61,101,129,168,201,274,264,329,361,374,375,286,177,144,137,97,60,62,39,41,""
12,17,-1,24,26,56,85,96,118,143,196,227,237,261,310,285,260,202,163,135,120,88,79,62,35,""
13,25,17,15,47,-1,69,114,132,158,162,183,198,252,297,281,238,203,150,140,118,96,89,32,29,""
14,19,18,17,34,39,88,112,134,175,245,300,283,278,307,323,280,249,195,137,90,93,79,79,49,""
15,25,14,21,33,78,107,138,163,184,164,219,218,242,279,226,267,168,143,136,127,95,54,36,27,""
16,19,21,17,40,62,99,89,163,169,201,205,197,204,246,267,264,200,140,129,99,79,80,52,38,""
17,24,13,15,31,57,81,98,129,135,204,190,228,226,274,322,186,276,100,80,69,77,56,53,39,""
18,14,3,8,13,44,83,114,113,133,162,188,233,237,319,246,244,218,127,113,102,77,91,47,29,""
19,13,12,24,25,60,67,91,129,141,186,196,226,215,244,342,250,187,114,95,93,85,64,51,43,""
20,30,14,21,-1,39,-1,108,128,163,160,179,175,180,238,264,222,173,93,107,72,51,83,59,40,""
21,17,14,22,93,-1,-1,85,126,148,165,160,191,190,220,248,237,143,124,98,79,94,89,60,47,""
22,30,23,13,26,52,75,102,133,168,143,189,192,183,245,247,232,149,91,70,87,52,73,40,19,""
23,19,12,22,26,52,57,109,141,163,171,185,179,226,197,214,205,150,111,79,88,78,82,65,44,""
24,29,29,41,42,69,104,129,164,167,189,194,174,221,255,278,228,189,135,109,89,97,73,56,40,""
25,23,20,20,33,62,79,125,132,148,177,174,214,175,221,235,196,191,131,97,63,86,84,50,34,""
26,19,17,52,33,63,80,91,104,167,197,167,172,167,245,232,226,-1,-1,-1,-1,82,85,68,41,""
27,30,25,28,74,65,88,87,107,156,202,181,160,274,249,251,222,138,101,78,69,62,72,48,33,""
28,12,16,15,38,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
