may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,95,77,156,211,166,35,27,54,27,33,34,93,182,174,143,265,246,211,256,276,279,82,98,93,""
02,88,87,108,227,8,-1,-1,1,-1,91,251,204,108,-1,-1,-1,-1,31,20,13,5,96,101,90,""
03,95,78,100,-1,19,52,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,33,35,10,22,89,94,92,""
04,127,115,87,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,100,91,""
05,95,110,48,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,103,105,104,""
06,112,152,60,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,119,128,""
07,129,153,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,173,128,114,""
08,106,161,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,100,133,""
09,118,148,60,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,115,131,""
10,113,123,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,85,""
11,96,112,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151,161,131,""
12,125,139,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,-1,-1,-1,132,119,101,""
13,110,121,59,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,217,201,""
14,284,306,249,90,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,172,166,""
15,230,255,309,131,3,12,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,5,-1,39,-1,-1,242,131,""
16,115,173,172,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,244,269,""
17,246,176,144,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,184,123,""
18,127,162,162,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,177,135,""
19,168,167,118,124,113,83,57,32,105,122,107,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163,147,""
20,159,190,164,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,211,184,""
21,230,136,137,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,94,""
22,118,100,98,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,72,81,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,101,-1,-1,4,-1,-1,-1,91,110,""
24,118,127,171,147,-1,-1,-1,19,-1,-1,7,-1,-1,1,-1,1,11,19,104,-1,-1,-1,132,119,""
25,119,107,113,105,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,94,""
26,92,78,86,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,85,""
27,112,107,112,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138,120,""
28,87,92,102,60,-1,-1,4,2,-1,-1,14,-1,1,34,13,24,7,-1,-1,-1,-1,-1,104,98,""
29,102,128,104,54,-1,1,2,4,-1,3,24,34,121,238,213,121,77,-1,8,216,209,22,91,95,""
30,107,116,91,40,-1,47,7,23,-1,-1,3,-1,-1,-1,70,62,2,-1,1,-1,1,9,76,82,""
31,84,87,77,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,86,100,""
