sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,185,184,191,176,187,162,194,171,148,134,77,119,97,90,60,79,75,61,83,74,127,145,171,105
02,103,97,143,159,212,225,216,230,195,157,137,131,128,111,93,86,126,18,135,141,170,202,303,280
03,271,225,285,264,251,281,370,390,350,285,273,266,180,157,130,119,108,110,131,161,181,216,258,248
04,279,288,289,282,277,243,236,233,237,211,184,199,163,147,115,127,128,112,135,117,161,191,229,272
05,280,275,274,225,249,235,209,215,255,231,150,179,160,145,128,131,113,95,104,106,175,191,233,205
06,223,234,273,331,226,231,248,183,183,176,136,126,122,108,105,80,83,74,105,148,161,258,252,304
07,215,230,256,389,351,381,303,245,201,188,177,139,126,97,91,96,88,91,91,105,158,184,202,222
08,235,199,231,249,276,253,293,273,262,224,208,164,129,98,89,78,93,96,99,119,149,160,222,208
09,214,214,237,284,311,358,238,246,238,232,183,191,173,130,137,139,125,113,126,157,181,194,299,242
10,218,253,243,285,319,333,327,269,267,193,196,185,151,137,138,115,114,110,111,128,149,219,229,240
11,309,267,266,-1,165,216,249,242,216,218,187,155,115,135,119,102,123,121,170,208,285,302,347,343
12,271,316,412,377,397,399,396,331,233,219,175,189,161,146,138,117,142,101,121,126,160,212,182,267
13,278,280,279,263,222,272,278,265,228,233,232,208,181,158,219,177,157,169,192,225,288,312,416,394
14,407,393,403,522,432,430,440,366,369,341,309,306,229,210,212,196,187,168,216,236,258,366,408,412
15,421,409,436,454,521,440,541,473,420,434,465,365,325,310,230,225,271,265,469,486,225,346,302,305
16,420,420,414,443,417,397,388,407,433,374,355,394,111,23,26,25,10,134,248,295,330,376,413,438
17,405,426,407,418,390,433,423,448,434,414,353,367,310,242,221,213,224,221,244,286,325,429,456,444
18,447,459,425,478,512,452,433,427,435,386,352,345,293,260,231,197,223,210,281,284,331,373,394,397
19,420,443,447,455,540,527,480,487,460,387,359,341,319,255,245,240,240,236,234,256,352,395,456,482
20,449,475,452,523,460,480,450,426,445,409,395,365,293,270,250,221,223,204,262,274,361,429,463,475
21,486,461,491,496,462,445,424,378,393,402,373,354,293,268,234,200,182,212,241,281,308,429,444,481
22,498,499,453,440,447,438,416,398,365,402,338,325,271,225,233,236,259,210,223,248,332,347,371,394
23,425,438,410,406,417,426,430,381,441,375,378,334,333,261,241,212,232,211,234,261,320,417,426,487
24,449,426,397,445,486,475,449,453,457,347,370,315,272,250,212,229,189,211,250,237,299,353,415,438
25,448,463,432,460,449,489,441,405,445,411,397,366,277,253,221,190,200,205,223,277,323,364,383,413
26,435,433,423,453,453,413,394,423,393,393,353,350,270,231,229,198,175,235,211,247,294,332,374,432
27,438,473,455,496,435,412,405,437,389,384,400,341,315,236,205,211,212,191,201,210,252,367,388,430
28,438,428,498,418,389,377,353,379,426,370,352,357,331,238,183,212,213,192,224,233,317,384,392,469
29,470,410,380,436,415,415,412,432,412,401,377,377,264,242,200,186,175,237,268,261,264,366,320,398
30,407,390,394,454,511,440,431,455,422,398,403,354,330,265,214,215,233,231,303,269,345,422,474,458
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
