mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,21,22,16,32,50,65,0,0,0,0,0,39,54,83,0,53,63,76,47,52,39,33,29,32,""
02,26,20,30,43,41,0,0,50,67,82,90,75,73,71,68,85,67,67,54,64,62,44,27,25,""
03,19,30,50,41,36,47,50,94,87,61,72,66,61,67,67,100,74,65,64,53,58,45,35,38,""
04,24,81,28,38,37,50,50,73,73,44,47,43,53,87,85,78,86,104,70,72,67,50,32,17,""
05,25,22,28,41,39,54,68,77,92,102,90,81,85,78,71,68,83,67,0,50,49,22,14,20,""
06,18,25,30,0,49,0,55,75,64,78,91,88,82,57,71,67,51,44,43,49,57,22,28,23,""
07,21,19,29,39,63,54,72,63,99,63,34,58,57,86,54,51,53,66,43,37,43,33,24,24,""
08,18,32,34,29,43,57,85,94,95,74,89,62,68,83,72,72,83,82,74,53,50,34,31,24,""
09,27,22,26,36,34,60,0,89,0,0,0,0,72,101,49,45,43,57,64,52,0,0,0,0,""
10,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,""
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,127,117,127,99,99,67,55,57,""
16,40,38,66,59,57,51,66,80,78,85,94,105,78,76,36,0,0,0,0,0,0,0,0,15,""
17,84,0,0,0,25,165,118,90,75,83,82,80,89,102,79,105,118,91,89,87,78,63,58,32,""
18,23,28,28,27,38,61,65,83,94,0,69,70,78,77,57,66,87,100,74,57,71,47,39,66,""
19,98,28,48,59,52,65,103,101,100,115,103,110,87,102,128,136,157,133,123,112,89,78,71,57,""
20,28,44,43,40,85,69,66,91,114,124,104,90,84,74,72,107,110,165,106,69,64,101,55,32,""
21,15,32,28,29,51,53,72,80,84,88,74,81,59,72,59,111,123,122,99,92,81,86,47,35,""
22,35,58,45,52,66,104,90,120,105,78,111,127,118,69,113,150,143,200,121,113,88,63,57,46,""
23,31,51,44,61,61,72,105,107,129,139,184,134,115,118,156,138,138,149,129,86,104,63,60,35,""
24,47,50,36,35,49,57,96,90,94,82,96,75,88,100,120,112,113,100,107,70,64,60,60,61,""
25,25,32,54,54,47,73,64,94,86,96,114,79,86,110,95,106,150,163,161,94,111,60,69,37,""
26,46,49,62,65,78,91,138,117,142,125,132,147,105,126,134,140,130,137,120,98,102,62,52,43,""
27,31,26,30,44,71,92,131,119,115,115,93,89,104,105,110,128,117,107,97,86,79,82,64,36,""
28,39,35,37,69,144,75,86,101,111,96,109,115,111,106,92,127,117,117,124,93,91,62,53,39,""
29,33,53,33,52,65,72,79,128,122,95,87,101,95,91,96,91,108,86,81,103,76,49,34,48,""
30,46,38,47,45,56,62,62,99,106,61,91,86,88,92,130,147,126,134,102,110,86,69,44,45,""
31,40,65,153,58,57,78,82,134,130,138,150,128,133,137,126,132,114,134,113,104,77,87,53,-1,""
