jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,133,155,149,122,116,174,205,211,215,232,286,273,272,293,276,268,244,244,230,227,176,167,146,112,""
02,107,138,136,135,139,198,156,205,239,248,295,300,288,303,274,275,244,224,226,228,224,189,179,88,""
03,136,104,136,154,169,186,224,255,273,296,301,272,283,295,290,285,307,222,220,104,176,176,49,190,""
04,140,152,178,186,203,184,227,238,281,303,314,332,312,322,276,287,233,203,190,112,70,107,107,88,""
05,117,96,86,105,121,173,226,301,296,305,269,270,267,286,268,292,279,230,211,203,193,175,136,105,""
06,108,141,67,211,180,207,262,270,263,291,273,281,290,286,301,279,233,183,166,161,151,141,125,88,""
07,81,28,47,53,74,51,82,181,208,226,234,236,205,214,183,168,154,137,148,68,18,31,24,18,""
08,25,94,61,40,48,108,124,158,163,181,181,185,150,165,163,162,132,124,136,124,109,112,121,77,""
09,93,97,97,62,41,50,116,154,194,187,158,180,159,167,179,159,128,102,95,91,93,85,45,24,""
10,34,49,50,51,42,45,150,191,182,218,199,219,209,173,178,165,155,123,144,161,152,123,40,21,""
11,13,26,26,31,29,35,87,187,217,211,227,217,181,183,175,168,159,144,151,132,124,66,58,60,""
12,47,73,41,68,53,123,156,166,195,173,170,182,183,182,164,148,152,146,107,140,164,139,89,87,""
13,128,98,50,82,110,166,242,274,246,253,273,281,271,258,227,246,230,234,212,212,139,96,89,72,""
14,85,48,105,120,109,82,198,241,255,271,256,274,238,236,212,233,196,178,143,161,163,127,123,108,""
15,83,153,96,92,120,153,221,208,225,240,237,220,234,231,193,206,195,194,170,183,158,133,146,117,""
16,116,132,133,135,147,165,198,201,243,210,234,276,236,224,196,205,172,167,157,163,156,133,124,94,""
17,55,74,89,103,85,119,155,205,179,166,179,204,175,174,150,129,116,116,110,111,109,102,79,83,""
18,85,88,87,86,86,128,152,158,198,208,198,195,170,187,176,140,109,107,114,105,111,100,98,78,""
19,99,92,91,75,97,111,138,144,163,171,148,147,148,155,149,115,121,118,112,121,90,96,108,132,""
20,144,142,168,156,157,183,184,251,234,272,259,250,241,229,200,232,213,193,172,187,170,158,161,134,""
21,131,154,162,172,180,132,106,194,271,245,278,262,233,227,195,208,176,182,194,179,167,165,135,131,""
22,157,131,172,199,180,196,270,333,280,298,307,286,265,254,243,258,189,226,178,205,187,179,163,123,""
23,153,156,176,161,171,173,109,127,162,154,290,285,268,274,240,244,223,197,187,373,217,199,199,180,""
24,142,190,217,183,204,126,121,245,349,313,317,310,323,274,282,236,191,223,214,190,176,144,174,144,""
25,137,145,137,174,203,151,103,139,190,172,225,285,297,299,246,203,217,195,169,175,197,153,134,122,""
26,103,163,152,154,195,209,259,295,326,321,306,288,275,268,203,200,199,193,178,190,130,120,147,127,""
27,128,143,155,152,137,182,239,158,203,277,282,282,263,240,225,228,210,203,184,164,238,123,145,127,""
28,111,114,127,140,163,194,257,262,295,303,296,242,252,266,221,189,186,163,168,181,159,140,144,135,""
29,111,99,130,149,139,144,235,276,296,325,327,339,286,260,216,232,207,171,166,155,132,161,115,115,""
30,146,128,134,108,125,172,132,202,335,290,281,292,265,241,152,158,215,174,157,187,162,154,143,136,""
31,147,129,128,143,154,213,232,282,323,307,274,280,284,240,231,220,189,188,155,150,136,156,122,-1,""
[E]nVah{{`zI}le,"z'gl}"
