jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,55,47,70,55,74,75,88,101,90,94,67,76,95,97,89,84,70,39,69,53,36,76,52,46,""
02,41,3,7,65,78,86,83,83,94,105,84,98,93,109,109,122,58,49,91,60,51,48,0,1,""
03,10,33,0,0,26,96,105,107,106,91,92,155,93,83,75,0,0,0,0,0,22,22,109,82,""
04,52,58,137,132,78,95,97,99,97,88,88,86,100,88,95,83,86,65,34,8,82,32,84,0,""
05,0,0,0,0,34,139,92,139,150,109,89,88,82,85,111,88,63,86,53,25,52,79,18,105,""
06,1,32,96,53,58,87,115,125,97,78,87,88,88,84,91,78,76,40,45,33,67,20,41,39,""
07,33,18,41,20,53,42,59,71,59,61,57,61,56,69,69,49,46,0,24,30,14,28,33,33,""
08,21,23,19,35,45,43,37,39,38,38,31,38,38,39,84,80,132,42,24,27,21,25,60,53,""
09,39,58,58,81,82,97,110,118,105,102,88,95,95,92,103,84,83,53,62,88,53,57,68,68,""
10,50,58,46,66,65,97,88,80,78,84,92,85,103,106,105,95,95,81,74,43,42,52,41,55,""
11,55,51,77,80,58,94,107,84,77,89,104,96,86,98,96,85,65,74,53,52,40,40,50,53,""
12,56,57,50,81,85,99,104,114,111,112,114,109,80,78,97,72,84,52,20,18,11,16,18,15,""
13,11,16,21,9,18,21,26,32,25,13,24,27,31,26,29,40,32,20,62,68,52,57,70,37,""
14,47,56,75,72,81,113,116,126,102,99,107,113,100,90,100,98,60,70,63,47,54,55,31,16,""
15,12,12,16,12,16,16,23,24,29,7,16,24,61,78,93,90,96,64,55,43,42,47,46,62,""
16,52,50,79,72,84,111,118,126,110,85,98,97,79,106,106,101,60,90,24,64,43,44,55,56,""
17,56,59,85,105,93,79,102,90,99,97,88,98,99,81,80,84,79,56,87,49,65,51,22,50,""
18,72,0,0,60,86,97,112,81,74,60,77,81,59,68,86,61,65,54,41,35,47,39,30,40,""
19,39,48,50,65,70,92,97,86,86,96,84,98,86,84,76,45,0,4,94,62,41,46,50,66,""
20,79,36,0,3,57,120,98,102,77,74,73,76,74,74,81,70,79,77,78,62,62,76,67,48,""
21,52,61,60,102,81,103,125,134,135,108,118,105,106,97,92,68,80,89,74,59,52,56,62,56,""
22,52,55,69,73,94,121,130,177,128,121,101,84,85,61,63,47,54,68,68,63,52,51,55,46,""
23,48,50,77,49,70,70,116,120,106,105,108,102,97,112,48,16,10,56,115,61,36,50,46,60,""
24,50,76,77,97,25,73,122,102,156,132,73,45,28,9,20,12,10,93,49,14,11,11,43,51,""
25,52,74,66,83,112,147,163,149,124,129,131,101,91,93,51,76,76,73,68,50,58,42,61,52,""
26,48,43,40,50,78,122,118,133,122,113,112,124,92,92,105,83,67,69,48,55,46,60,58,74,""
27,67,63,53,84,117,145,149,188,152,123,115,113,112,103,110,45,26,69,60,48,40,54,43,47,""
28,47,48,63,70,93,141,156,175,162,151,138,140,97,92,86,66,62,40,16,26,27,27,22,27,""
29,23,25,28,26,61,86,122,121,121,128,89,95,65,56,56,27,33,54,28,43,25,19,30,38,""
30,37,31,24,54,52,98,116,102,115,91,93,112,74,56,45,66,35,20,41,21,11,24,27,19,""
31,13,28,23,29,54,83,92,95,99,103,66,69,53,36,31,34,35,27,21,15,11,18,15,-1,""
