jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,84,81,76,90,101,87,67,22,36,102,102,90,67,74,79,67,50,40,53,35,45,49,57,78,""
02,83,108,96,123,98,99,53,21,18,16,21,17,8,42,55,59,46,41,26,34,48,62,59,71,""
03,72,76,78,80,98,89,84,57,14,19,12,13,7,65,65,46,47,53,41,49,40,49,64,73,""
04,76,86,70,88,102,86,76,71,96,74,82,49,61,57,55,54,44,37,24,33,52,53,61,70,""
05,63,80,92,89,83,84,88,92,105,90,81,68,67,63,68,64,49,44,28,37,51,51,58,71,""
06,90,89,81,104,100,78,94,93,95,90,74,57,47,52,47,53,42,32,31,30,40,47,55,73,""
07,72,84,73,95,79,69,99,90,114,89,85,80,43,54,56,50,44,19,37,36,41,50,63,64,""
08,82,85,72,86,77,80,80,87,40,15,14,60,39,50,45,44,38,25,35,38,36,57,71,67,""
09,69,94,94,81,83,84,83,86,104,86,71,54,49,-1,58,62,49,41,33,39,45,67,87,73,""
10,87,74,92,112,98,99,99,101,109,79,63,65,53,55,46,48,41,27,32,39,42,59,72,70,""
11,67,85,107,95,91,104,107,114,99,116,77,65,65,50,59,53,41,33,48,28,44,55,61,77,""
12,92,94,86,84,77,94,88,81,86,88,81,62,49,65,62,61,35,30,37,40,57,53,63,68,""
13,79,58,54,32,51,58,88,100,91,87,84,61,69,61,52,41,58,34,43,36,46,68,39,66,""
14,91,78,67,66,89,96,103,105,104,97,76,68,67,48,52,51,52,44,41,41,41,64,65,78,""
15,76,82,88,94,81,78,26,22,19,19,11,5,11,14,13,11,13,12,6,3,8,5,11,20,""
16,26,24,16,25,24,29,28,24,18,14,15,19,43,47,53,38,46,36,44,44,52,46,71,59,""
17,66,67,44,67,47,50,27,19,26,35,19,17,3,11,20,14,9,9,11,12,6,14,22,16,""
18,33,23,23,26,35,30,25,27,25,22,28,20,17,7,51,48,49,43,43,41,64,58,70,77,""
19,83,84,99,103,104,86,28,31,20,20,18,22,6,13,51,63,42,48,46,50,51,49,70,87,""
20,93,85,91,118,104,95,96,94,106,97,87,70,64,58,51,49,40,47,55,63,50,74,92,100,""
21,94,95,102,113,118,92,113,195,188,186,103,21,21,21,16,22,15,24,46,50,50,68,86,92,""
22,99,105,118,111,114,104,128,222,209,173,88,72,69,43,19,14,12,12,23,14,13,13,19,10,""
23,18,22,17,23,25,23,44,32,12,20,18,10,13,31,18,13,9,22,22,25,21,44,42,50,""
24,54,72,79,72,59,57,56,222,220,191,134,72,74,51,24,19,22,40,47,54,53,77,76,105,""
25,134,108,121,115,106,89,82,94,74,69,68,58,49,54,56,42,39,40,43,49,53,70,89,90,""
26,122,115,111,114,106,85,97,281,265,230,92,58,41,53,22,41,39,-1,18,33,40,68,115,123,""
27,124,131,131,128,154,117,91,78,121,103,89,63,57,74,56,55,24,24,26,28,41,47,71,84,""
28,90,104,95,92,82,72,58,56,43,42,38,33,33,25,28,19,14,43,48,34,40,69,87,101,""
29,115,122,119,116,115,99,94,87,58,55,58,55,29,25,28,31,23,27,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,16,40,23,22,25,39,21,32,23,36,42,40,43,55,91,108,""
31,95,117,124,112,90,110,70,54,29,24,38,27,37,27,56,34,46,27,43,39,45,-1,-1,-1,""
