jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,24,21,19,11,-1,-1,-1,8,24,25,36,27,25,37,32,26,39,23,22,18,15,15,18,21,""
02,23,21,28,27,28,33,42,34,21,25,27,30,27,19,16,20,16,17,19,13,18,11,17,21,""
03,30,23,26,36,34,32,32,36,36,20,24,23,19,19,14,15,13,12,17,11,10,16,22,26,""
04,31,32,27,32,27,39,33,27,29,22,20,28,29,14,18,10,29,9,27,28,15,20,22,17,""
05,31,18,32,29,34,29,26,28,23,24,27,16,17,17,31,19,27,14,30,19,18,13,13,19,""
06,20,26,24,22,36,27,37,26,28,23,12,19,17,26,29,20,28,20,14,20,1,31,23,18,""
07,18,27,24,27,28,32,22,25,26,19,19,12,18,14,31,29,14,16,5,26,14,13,19,19,""
08,22,15,26,17,15,26,27,22,20,18,13,14,19,18,18,20,17,16,13,10,16,13,10,24,""
09,25,23,23,26,15,31,9,23,19,26,38,26,14,12,12,18,9,12,11,12,12,17,16,13,""
10,17,25,23,30,31,28,20,25,16,18,19,24,17,23,19,15,19,25,9,8,13,18,19,20,""
11,17,28,21,31,33,30,26,30,18,24,24,23,20,16,15,16,13,24,15,12,15,14,23,28,""
12,24,22,32,25,22,35,31,24,23,22,12,23,30,22,16,12,19,8,7,18,12,20,19,14,""
13,25,19,26,31,31,35,26,25,21,14,13,17,12,20,26,17,15,10,14,8,9,10,18,15,""
14,16,33,24,19,17,37,22,16,25,14,13,15,18,18,16,20,12,12,8,12,11,14,12,17,""
15,25,18,17,33,25,19,24,28,18,22,19,23,17,21,15,13,11,11,9,8,13,17,16,29,""
16,27,14,28,26,18,24,28,20,14,15,14,16,16,14,14,18,13,10,11,10,11,20,20,18,""
17,25,29,22,27,26,23,22,15,13,12,17,19,10,17,12,10,11,10,10,21,11,15,14,15,""
18,24,28,30,27,29,20,21,27,22,18,16,14,16,20,17,10,18,12,15,12,20,19,12,16,""
19,24,23,19,21,26,29,26,19,15,15,13,16,17,5,13,15,11,20,11,12,10,14,12,23,""
20,28,21,27,16,23,22,27,20,16,15,17,12,21,15,12,11,15,9,15,22,15,14,19,9,""
21,17,26,21,28,23,38,27,19,14,15,8,13,11,2,1,9,10,7,9,8,13,17,18,17,""
22,31,22,26,20,25,15,20,23,31,25,18,13,6,13,6,8,7,6,1,14,11,18,20,27,""
23,24,27,40,21,44,28,22,19,27,22,17,13,11,9,15,10,6,5,8,18,6,19,26,16,""
24,27,21,33,28,23,27,21,18,25,20,20,16,22,17,19,13,10,11,4,5,9,16,17,24,""
25,29,31,29,31,28,26,30,19,22,21,18,9,13,16,17,12,14,8,15,14,11,12,24,29,""
26,33,33,17,29,30,21,24,10,23,12,21,24,11,9,10,11,9,14,16,11,8,21,17,28,""
27,31,32,36,29,25,18,26,19,15,18,13,16,11,17,15,17,18,9,10,12,12,13,13,22,""
28,33,38,32,43,35,22,13,23,16,18,15,18,10,20,12,11,5,11,12,24,23,16,21,34,""
29,28,38,30,28,33,30,26,24,29,16,13,12,19,14,16,29,12,9,6,13,6,22,21,35,""
30,31,34,21,33,36,33,30,21,7,16,18,12,8,14,9,9,11,9,10,13,12,20,20,23,""
31,24,37,27,28,42,18,20,22,28,12,16,6,16,9,15,20,5,18,10,11,10,17,21,6,""
