jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,24,32,24,32,61,99,130,145,172,211,194,228,220,197,219,178,193,131,75,62,79,47,53,44,""
02,35,22,21,47,74,68,136,140,183,188,217,217,210,245,232,197,153,107,56,73,88,68,47,36,""
03,28,30,16,39,45,81,112,123,138,164,157,188,200,187,147,152,140,112,64,63,49,61,32,41,""
04,34,22,32,32,61,103,114,131,132,163,162,153,197,190,145,178,126,106,84,53,58,61,58,31,""
05,98,27,41,34,83,100,141,160,169,207,185,185,184,192,192,211,134,87,-1,50,58,59,58,-1,""
06,23,38,31,35,80,112,143,154,171,194,174,212,192,215,184,159,141,92,66,52,43,50,43,43,""
07,45,11,21,48,73,104,123,122,167,215,183,231,171,173,203,170,155,110,66,70,59,48,36,26,""
08,25,18,22,35,46,111,146,188,223,233,226,205,205,183,197,164,157,107,82,78,53,60,33,33,""
09,36,36,-1,49,75,126,129,171,173,223,221,197,182,182,203,172,132,86,70,67,48,51,33,21,""
10,28,30,30,31,66,113,140,180,171,223,195,224,231,172,197,170,142,136,98,69,60,49,50,43,""
11,32,29,34,35,89,132,170,186,212,247,243,233,206,149,191,154,123,91,78,59,40,46,38,27,""
12,26,27,31,39,82,84,150,149,169,211,205,197,198,175,182,171,154,106,52,71,54,36,34,28,""
13,63,25,19,37,75,0,143,181,190,246,262,209,183,194,170,151,184,165,116,45,52,41,48,22,""
14,24,25,36,45,61,94,146,165,203,184,231,203,181,159,157,136,117,80,69,42,32,23,21,25,""
15,17,25,35,52,73,107,139,162,214,215,226,204,170,176,163,150,123,108,73,33,39,25,27,22,""
16,36,25,33,42,57,104,139,167,176,241,215,168,151,135,121,134,127,151,55,43,47,43,29,32,""
17,28,17,26,50,68,140,163,189,204,294,267,254,225,163,180,178,142,122,83,71,56,65,58,41,""
18,31,28,34,51,97,119,155,183,186,249,252,244,189,173,206,194,188,151,83,79,-1,-1,-1,57,""
19,37,52,48,-1,-1,134,144,137,181,222,196,164,194,147,118,130,94,82,47,36,26,32,26,26,""
20,26,19,19,44,77,131,148,161,140,182,179,169,195,164,129,117,93,75,68,-1,48,20,30,27,""
21,18,28,35,71,48,94,138,162,177,195,217,191,165,134,148,112,94,52,50,33,18,26,23,22,""
22,31,25,22,47,82,104,155,171,195,229,225,188,138,131,125,139,90,70,64,49,44,44,44,21,""
23,26,-1,-1,55,84,110,182,241,225,290,272,267,225,211,171,172,152,135,111,62,64,51,48,51,""
24,52,31,48,53,119,179,185,222,220,241,259,250,228,142,140,146,137,99,74,66,44,29,32,18,""
25,22,24,72,48,96,127,205,235,236,277,352,223,210,207,163,144,98,86,55,45,36,39,38,36,""
26,31,35,48,62,109,198,188,288,232,262,311,266,220,161,136,113,115,95,68,48,38,45,36,20,""
27,27,27,30,63,100,171,179,207,200,266,290,196,216,185,127,130,111,92,75,57,48,40,25,20,""
28,34,37,62,61,117,163,236,185,180,243,230,279,214,177,150,126,107,74,73,43,39,41,47,37,""
29,26,34,46,46,78,182,198,242,325,324,328,270,253,182,186,120,118,64,62,41,27,41,32,35,""
30,54,68,44,54,115,214,239,234,250,302,266,223,206,209,149,111,94,86,58,44,42,27,24,30,""
31,18,35,29,51,101,153,188,217,254,296,303,238,202,214,195,180,116,93,68,54,49,46,36,-1,""
