Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,145,154,198,207,207,183,93,128,128,188,197,306,187,98,78,70,51,152,213,249,123,195,97,166
2,157,195,168,170,203,165,140,150,134,144,263,375,99,77,80,76,67,68,42,38,63,45,90,118
3,166,174,204,200,232,207,179,121,113,138,116,115,121,112,96,85,47,225,276,92,54,71,100,143
4,139,166,184,192,229,189,238,105,376,333,90,159,185,101,146,91,146,204,75,70,64,75,89,112
5,133,181,183,215,245,193,159,172,227,250,411,112,185,116,108,98,260,73,543,349,39,51,62,75
6,106,139,132,190,187,145,140,105,138,175,212,216,277,94,80,82,49,40,37,77,55,47,79,73
7,109,130,210,148,193,152,121,84,148,79,149,155,159,138,100,107,72,63,47,71,49,63,71,119
8,84,113,153,187,173,155,168,147,151,152,128,83,165,190,108,81,53,73,115,76,64,212,138,131
9,156,184,172,203,238,230,124,144,139,139,181,146,150,174,109,102,99,64,67,64,65,77,104,130
10,187,171,188,224,245,217,171,124,132,173,137,105,117,111,78,83,65,114,236,39,53,55,83,129
11,149,170,150,150,223,180,180,154,202,268,230,322,189,223,272,410,72,54,190,317,312,80,73,129
12,114,132,138,163,241,266,147,169,180,202,207,187,182,126,110,110,78,98,81,56,70,108,156,137
13,214,282,243,272,245,251,261,180,307,277,295,281,255,380,400,120,179,95,111,64,69,67,101,122
14,153,172,185,176,233,214,161,127,154,195,215,198,187,150,111,147,81,61,141,54,82,74,91,135
15,139,173,137,163,206,164,165,168,134,180,176,147,112,139,113,81,74,72,84,37,52,52,86,96
16,140,125,153,172,167,161,117,120,149,164,163,118,12,3,2,29,26,65,56,61,60,71,133,105
17,144,224,161,178,192,161,237,131,6,59,173,186,157,130,57,66,49,47,34,52,63,74,115,131
18,173,196,190,201,221,209,181,166,150,171,137,106,99,86,79,65,56,71,333,44,45,72,91,95
19,135,165,183,216,222,205,148,166,178,151,105,135,119,108,85,97,65,60,44,51,164,61,100,128
20,159,201,188,222,237,172,138,122,160,155,271,260,215,69,60,92,76,68,50,52,42,70,85,102
21,113,115,130,160,135,119,137,96,129,112,102,83,72,68,67,87,86,77,65,46,63,60,79,111
22,136,155,140,181,149,155,178,132,110,108,106,99,64,82,59,73,61,44,44,57,59,86,109,120
23,101,135,136,138,175,158,149,121,122,89,95,73,76,61,76,72,54,56,43,55,88,63,110,110
24,109,142,142,182,156,166,114,188,121,124,157,292,103,79,53,72,158,375,50,56,49,106,94,78
25,98,129,135,155,156,140,124,130,87,80,80,92,85,74,66,78,59,29,52,46,43,50,92,95
26,103,102,118,161,135,113,111,97,110,102,89,72,50,46,53,52,53,43,36,38,40,69,88,93
27,100,104,129,147,144,130,123,123,122,134,120,78,56,84,59,49,51,35,50,42,52,45,77,82
28,71,102,91,97,131,91,58,65,108,75,187,92,63,82,52,83,44,34,30,34,41,40,51,86
29,92,101,126,153,118,94,98,89,157,217,256,201,65,86,77,53,48,27,30,34,38,39,58,57
30,54,68,65,95,123,104,71,69,104,126,92,75,51,65,63,57,38,34,33,46,39,219,81,113
31,108,113,130,126,109,120,124,93,80,251,218,213,96,91,121,61,54,50,34,118,368,278,104,87
