Aug,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,23,34,27,43,41,35,33,36,25,31,27,23
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,24,40,42,35,29,25,33,31,31,37,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,8,-1,-1,30,28,22,25,33,27,25,29,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,21,21,25,34,23,26,33,34,17,26,15,23
5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,13,17,33,31,27,29,39,26,25,24,21,17
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,10,10,26,22,21,25,29,28,34,29,19,-1,-1,-1
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,12,28,16,31,31,32,16,-1,-1
8,-1,-1,-1,6,-1,-1,-1,-1,4,5,8,8,23,20,24,-1,-1,-1,-1,16,22,25,-1,-1,-1
9,22,-1,-1,-1,-1,-1,11,8,6,8,4,9,15,17,13,19,29,24,23,24,15,26,14,14
10,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,23,22,14,23,24,34,31,18,-1,-1
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,14,25,26,25,-1,-1,20,18,30,34,-1,-1,-1,-1
12,25,16,17,12,-1,-1,-1,-1,-1,-1,9,14,25,28,21,28,27,22,20,24,20,26,-1,25
13,31,30,-1,-1,-1,-1,-1,-1,-1,11,13,11,15,29,13,26,28,28,28,49,61,39,39,28
14,27,-1,-1,-1,10,18,-1,-1,-1,5,9,12,15,22,22,24,26,32,30,33,35,25,17,20
15,7,12,10,-1,-1,-1,-1,-1,-1,14,5,13,14,14,16,19,30,19,24,26,23,21,25,17
16,11,10,8,-1,-1,-1,-1,-1,-1,-1,3,7,14,9,19,28,14,10,23,14,20,16,21,21
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,11,-1,-1,9,18,20,21,27,17,16,19,11,20
18,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,10,9,16,-1,-1,17,13,11,14,15,19,15,13,18
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,14,14,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,12,18,9,17,16,14,-1,12,21,18,17,19,22,-1,-1
21,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,18,15,13,12,21,10,21,16,23,15
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,9,11,17,11,19,14,13,10,23,28,17,23,17,14
23,15,10,9,7,7,5,11,9,6,11,7,9,18,15,9,13,14,11,25,14,16,21,13,12
24,4,-1,-1,13,7,-1,-1,12,7,5,2,-1,11,16,12,19,17,17,25,19,24,16,24,15
25,13,-1,10,-1,-1,-1,-1,-1,-1,8,8,8,14,6,13,16,18,25,8,13,27,23,14,15
26,-1,-1,-1,-1,-1,-1,-1,-1,6,14,16,14,11,13,16,10,16,12,19,16,21,14,7,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,13,10,10,14,10,19,6,23,10,24,14,13,15,-1,-1
28,10,16,8,5,12,-1,-1,-1,-1,-1,14,13,18,12,7,13,13,11,17,21,19,14,17,12
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,20,14,22,13,21,15,16,12
30,-1,-1,-1,-1,2,4,7,10,7,-1,8,12,14,15,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,12,-1,-1,-1,-1,-1,-1,-1,-1,-1
