mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,19,13,22,18,19,15,12,17,21,13,10,14,15,5,7,5,-1,-1,-1,8,9,11,12,16
02,17,13,17,15,17,13,17,15,19,17,14,9,8,7,5,1,1,4,6,9,8,7,15,12
03,8,11,21,16,20,18,16,18,17,14,25,13,11,23,6,3,2,4,5,7,6,10,13,17
04,10,20,19,14,12,11,22,17,15,18,18,13,9,13,6,5,4,4,5,7,6,10,12,17
05,19,24,38,17,10,15,21,21,25,17,18,9,17,15,8,3,3,-1,-1,-1,-1,-1,15,9
06,15,26,17,15,14,13,19,15,19,11,17,22,31,10,9,2,7,2,4,7,8,14,10,16
07,18,23,17,24,9,22,19,22,17,17,31,17,13,13,7,3,4,3,7,10,5,15,14,13
08,22,19,17,23,17,23,9,14,14,18,28,14,15,12,3,3,6,5,2,9,12,6,12,18
09,15,13,24,13,18,17,11,20,8,12,13,14,6,7,11,3,4,13,6,10,8,15,11,19
10,19,20,21,22,13,12,13,12,23,18,17,10,7,6,11,3,8,3,3,8,10,11,22,18
11,19,15,16,15,15,16,10,12,22,14,20,15,14,8,12,4,5,5,7,6,5,12,12,18
12,21,18,12,13,15,10,8,13,18,20,22,17,11,13,5,2,2,6,9,2,8,13,15,26
13,17,28,18,18,13,9,15,24,33,23,15,12,11,6,9,3,6,7,5,4,10,6,15,16
14,22,22,17,20,13,15,18,15,18,14,17,14,15,10,11,3,4,1,6,4,6,6,9,14
15,16,20,17,11,11,12,10,18,25,24,16,15,18,6,14,7,3,-1,4,6,8,11,13,22
16,15,14,19,15,10,14,11,15,12,21,29,9,15,31,11,3,3,5,2,1,7,6,10,20
17,21,15,19,19,13,20,13,16,17,14,11,16,2,9,12,2,6,8,6,8,8,8,14,15
18,23,24,19,14,11,28,14,11,16,15,20,9,11,17,12,4,9,3,1,3,14,7,8,19
19,24,23,16,14,24,14,12,22,34,12,15,15,9,7,7,4,2,3,2,4,13,10,20,20
20,17,24,18,12,15,18,19,9,14,24,18,19,18,5,7,4,1,4,3,3,6,7,15,11
21,23,12,22,13,13,20,12,18,13,19,25,23,7,6,6,7,4,1,9,3,5,7,16,16
22,20,16,10,10,9,9,14,28,18,12,20,12,15,9,4,2,4,2,5,7,10,9,12,11
23,11,13,26,14,13,16,13,22,19,17,7,18,20,7,8,6,4,5,2,6,3,9,7,6
24,14,19,25,11,7,19,21,14,12,21,14,19,14,8,23,4,3,5,2,5,9,5,12,13
25,18,16,21,17,11,14,18,19,19,13,14,16,7,5,3,5,4,5,5,3,7,10,8,11
26,16,11,20,15,13,17,18,19,30,13,20,10,12,6,6,5,1,2,4,4,7,8,7,19
27,24,24,19,9,21,8,20,32,14,32,13,19,4,12,7,4,1,3,-1,3,6,17,5,19
28,9,12,13,7,16,25,15,16,19,28,16,9,10,5,7,4,3,1,1,5,7,7,14,12
29,19,13,16,21,14,12,15,15,38,17,20,15,12,8,10,8,0,3,4,0,6,10,11,17
30,15,15,22,20,8,10,14,11,14,25,15,14,14,6,2,2,3,1,3,3,5,8,14,20
31,10,11,8,16,12,10,16,21,17,15,13,18,12,4,11,3,5,6,2,1,6,-1,-1,-1,-1
