Jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
7,---,---,---,---,---,---,---,---,---,---,---,---,297,254,197,128,76,61,75,72,128,161,168,214
8,265,285,378,418,400,405,438,407,351,305,298,293,255,239,174,108,67,47,66,112,122,150,172,229
9,310,285,388,410,357,406,399,422,409,321,292,300,255,232,180,115,88,58,61,84,125,138,172,200
10,236,300,327,387,374,378,407,419,374,315,298,328,396,306,186,131,94,77,58,95,140,137,141,198
11,240,300,325,361,352,381,415,375,359,287,290,324,303,282,179,146,86,80,63,105,119,147,172,208
12,290,308,326,348,328,354,368,392,371,341,287,308,326,276,174,156,74,62,59,88,140,173,199,225
13,276,291,339,401,359,382,436,391,343,375,286,324,352,296,201,136,81,59,51,85,126,175,243,327
14,287,316,343,367,411,437,433,429,439,371,324,312,334,310,208,164,100,56,72,101,97,162,204,231
15,249,324,366,333,376,385,425,449,363,320,334,368,312,224,206,116,93,66,69,104,112,138,183,271
16,291,313,400,378,338,377,132,298,333,303,227,335,370,364,192,138,98,65,80,103,122,154,182,212
17,255,295,334,321,313,338,370,390,335,247,279,320,345,300,195,137,85,66,66,84,130,154,182,234
18,252,292,356,348,357,343,402,385,350,341,322,312,311,297,233,130,85,62,70,95,144,176,233,281
19,304,318,367,412,344,327,426,412,374,333,232,175,231,252,211,186,207,101,143,117,192,209,165,233
20,311,327,394,377,380,375,453,451,364,320,293,294,303,292,173,175,122,253,114,167,157,113,305,306
21,123,354,328,285,385,396,443,473,196,204,274,152,320,355,247,187,155,109,238,292,145,274,272,210
22,286,384,394,374,423,221,114,297,187,291,307,297,332,338,286,155,157,69,123,95,145,271,361,314
23,457,412,302,392,317,395,417,431,433,309,297,335,310,317,203,90,254,149,76,98,142,163,190,268
24,275,321,353,362,378,363,439,375,333,306,263,311,301,299,218,115,124,106,68,84,137,163,173,251
25,231,274,287,313,334,362,410,401,378,297,293,301,299,336,205,90,68,127,81,95,132,174,182,213
26,274,303,351,345,352,374,385,406,380,313,275,291,308,294,203,147,111,83,60,100,151,157,163,217
27,286,306,349,377,354,309,406,336,231,242,228,295,275,284,218,146,113,78,77,193,148,162,185,205
28,247,313,335,366,394,388,193,166,349,298,244,225,298,298,233,161,97,64,78,81,117,196,216,261
29,242,297,360,396,374,412,441,345,253,310,325,342,296,256,169,96,112,196,277,124,103,154,167,206
30,294,312,246,336,365,354,302,179,205,123,8,91,340,276,251,166,105,89,76,95,144,205,157,222
31,293,354,332,360,317,398,438,385,434,362,322,315,343,332,153,193,330,141,49,72,97,155,186,229
