oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,346,354,361,399,415,432,395,430,451,440,361,290,307,259,217,166,145,167,222,387,319,280,387,365
02,289,278,353,401,383,384,413,388,364,430,420,353,284,249,213,174,160,231,509,261,271,336,362,320
03,333,151,39,326,392,392,393,413,426,402,368,303,286,241,197,161,98,214,184,235,291,358,370,334
04,272,256,362,401,391,382,359,360,408,373,359,294,208,218,208,137,146,121,154,202,277,334,364,296
05,253,277,289,318,311,344,304,377,356,374,342,279,254,234,188,170,172,146,162,243,278,339,328,252
06,270,262,350,335,312,283,285,347,330,338,296,273,196,176,166,153,164,149,145,208,335,343,337,329
07,295,233,319,402,372,350,351,333,336,327,323,303,247,208,166,139,139,131,177,212,270,328,330,342
08,273,277,298,401,383,354,334,366,367,395,310,320,233,199,223,182,148,140,190,219,288,326,369,294
09,285,278,352,387,372,360,324,350,365,371,331,318,255,204,194,188,164,118,182,212,282,352,350,277
10,234,117,20,343,357,322,341,345,346,378,342,326,288,263,211,180,450,510,277,255,333,391,437,386
11,320,282,400,442,428,398,396,405,387,416,337,295,242,253,195,226,198,166,207,73,376,376,388,369
12,333,288,249,225,193,180,144,188,298,308,417,377,329,313,326,411,471,437,327,304,380,343,379,396
13,318,267,193,196,197,166,159,193,261,330,376,419,371,402,326,346,462,401,398,367,337,340,380,347
14,348,265,217,188,202,188,168,209,211,315,344,411,344,378,328,352,466,463,365,351,353,372,384,348
15,280,252,44,203,191,168,168,222,249,280,338,390,401,355,380,377,480,362,366,370,345,333,324,255
16,156,48,344,202,177,145,160,248,281,286,325,357,267,237,292,123,301,367,403,365,368,401,423,206
17,307,239,255,220,202,182,161,204,247,290,372,439,405,349,365,387,464,411,-1,-1,-1,-1,-1,434
18,-1,-1,-1,-1,-1,-1,375,346,373,367,346,312,256,184,250,200,180,212,189,242,306,357,393,-1,-1
19,343,397,448,567,468,430,395,371,378,371,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,-1,-1,-1,-1,-1,76,-1,300,415,395,371,325,253,252,217,174,175,192,206,250,313,336,471,414
21,367,424,431,476,421,376,336,305,377,348,278,37,6,6,8,10,145,158,341,191,327,335,452,418
22,371,322,401,524,477,417,220,313,318,9,198,6,268,12,6,181,244,151,180,241,309,358,374,363
23,382,365,438,512,431,305,293,349,359,67,6,29,390,239,217,235,171,162,198,214,260,322,399,394
24,350,374,487,432,503,352,312,373,407,400,458,18,223,159,149,211,273,98,377,257,308,341,391,399
25,390,457,457,582,447,316,404,382,361,396,200,356,269,235,205,189,151,186,205,242,287,325,382,409
26,371,362,400,585,454,374,341,330,358,379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,46,331,363,357,396,345,271,213,276,114,8,101,380,186,256,278,338,383,354
28,291,369,398,492,393,366,378,332,318,371,327,255,277,216,222,160,162,173,191,239,341,484,335,308
29,300,318,388,390,425,386,357,371,341,332,6,6,6,74,182,167,190,126,206,201,269,318,352,395
30,442,332,345,369,384,342,282,320,392,236,6,216,252,234,176,195,151,362,163,205,284,315,353,315
31,304,252,113,29,276,366,332,357,377,374,196,257,260,268,240,162,164,185,183,226,252,277,356,-1,-1
