mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,22,35,34,26,13,16,19,28,32,28,27,24,15,18,10,10,11,4,6,6,10,27,30,29,""
02,26,20,29,26,21,18,28,28,25,28,19,22,20,11,8,7,6,4,11,7,15,14,30,28,""
03,25,26,27,20,27,22,24,21,30,26,32,15,19,15,11,8,4,4,9,6,13,20,23,21,""
04,22,24,19,25,17,15,19,25,26,29,17,21,17,18,8,9,10,4,5,8,7,29,23,35,""
05,36,36,34,35,9,24,21,28,39,29,18,11,18,13,10,6,4,5,13,10,11,20,18,21,""
06,24,27,28,29,16,19,15,30,33,32,16,18,16,10,10,4,7,8,12,15,23,16,10,28,""
07,27,23,25,18,23,17,21,33,36,24,19,27,20,13,15,5,7,10,6,11,16,17,31,35,""
08,34,29,28,36,26,27,25,40,21,24,19,22,17,15,15,8,8,5,9,11,12,25,26,31,""
09,31,32,32,24,23,25,23,30,28,26,19,22,21,13,8,7,9,6,10,12,15,19,22,31,""
10,26,26,19,17,29,24,20,29,43,34,26,30,28,11,7,4,11,9,7,4,21,23,25,24,""
11,44,34,30,19,21,23,26,32,22,24,27,22,19,12,8,7,8,6,4,7,13,20,29,36,""
12,25,31,25,29,21,16,23,25,37,22,22,26,16,11,13,14,2,8,6,12,14,21,23,22,""
13,32,31,30,28,24,28,19,24,29,26,28,28,14,18,11,7,4,7,11,7,12,16,27,23,""
14,27,30,32,27,35,23,20,19,29,22,21,33,11,13,10,10,8,1,2,12,20,18,27,35,""
15,36,26,29,22,21,19,24,18,29,16,25,14,19,17,13,13,6,4,6,14,9,25,25,32,""
16,32,38,29,22,18,22,25,27,39,29,25,22,19,11,13,12,5,5,4,2,10,21,18,29,""
17,40,19,26,18,31,27,14,29,28,23,30,23,27,18,10,3,8,3,3,10,17,19,27,44,""
18,23,32,31,31,26,39,16,30,28,37,31,22,21,16,5,9,6,4,5,10,23,18,22,25,""
19,26,22,30,29,33,31,48,30,35,32,28,28,15,16,13,12,5,15,10,10,16,26,24,17,""
20,28,24,19,20,31,26,38,28,40,36,29,11,21,15,11,14,3,9,7,12,20,17,36,26,""
21,36,29,27,30,25,15,16,18,26,37,17,21,13,14,11,10,8,5,9,4,11,12,23,25,""
22,20,25,35,23,20,17,17,20,25,25,22,18,16,17,8,9,2,5,13,7,12,20,23,26,""
23,24,19,31,32,13,20,16,31,35,23,33,18,25,17,10,7,7,5,4,3,16,17,25,30,""
24,27,33,24,36,19,22,29,29,46,38,32,28,13,17,14,16,10,6,5,12,9,21,19,23,""
25,18,21,26,30,22,31,26,29,42,47,27,21,16,17,14,10,8,10,6,8,10,21,23,28,""
26,28,28,37,37,24,29,23,27,36,25,42,29,24,13,9,5,4,7,9,10,17,16,23,27,""
27,32,30,34,23,21,25,15,34,39,35,32,42,22,11,15,12,4,9,5,8,7,25,24,24,""
28,31,38,28,22,20,23,31,41,41,38,26,18,14,8,13,8,3,4,7,6,10,17,20,26,""
29,20,33,25,19,20,22,30,36,34,30,32,14,22,9,14,7,3,6,11,7,2,12,17,17,""
30,13,22,19,20,20,22,22,37,42,24,24,18,22,13,16,5,6,5,8,5,14,16,17,26,""
31,24,23,26,25,24,16,24,33,30,23,18,13,15,10,10,9,3,4,6,4,15,-1,-1,-1,""
