jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,11,22,16,21,19,21,23,29,25,21,54,30,28,19,19,19,14,47,13,14,32,15,12,11,""
02,7,21,14,25,34,15,35,37,30,47,36,41,27,12,13,12,3,15,18,10,12,18,18,17,""
03,7,14,29,23,22,45,44,42,38,55,44,36,40,28,22,20,16,22,22,19,22,39,17,23,""
04,40,45,74,92,132,150,179,146,125,182,192,141,99,59,37,29,16,11,14,8,15,14,9,9,""
05,14,13,21,23,20,25,34,18,21,26,32,24,16,22,9,11,3,12,8,12,21,16,10,11,""
06,8,23,15,21,23,23,35,24,28,25,28,26,22,11,12,5,11,7,12,6,11,7,11,12,""
07,10,17,17,18,25,36,31,21,23,11,20,22,27,15,10,8,3,7,9,4,14,12,22,5,""
08,13,13,17,24,28,26,42,19,19,26,15,26,21,12,17,11,9,12,18,3,25,11,13,15,""
09,13,14,17,24,28,19,33,29,26,36,39,23,22,17,25,13,13,2,4,5,10,13,6,12,""
10,11,19,13,24,20,26,26,20,17,19,27,15,15,8,9,11,10,9,20,13,16,18,8,10,""
11,11,14,14,25,26,31,21,20,17,22,29,19,15,14,8,6,9,6,7,5,11,10,10,10,""
12,12,6,22,24,26,26,16,19,18,23,19,26,14,9,3,5,10,6,12,7,7,13,9,11,""
13,17,14,16,19,23,19,16,23,17,21,19,23,10,12,9,19,12,9,7,2,9,9,10,8,""
14,12,9,18,26,20,27,23,21,16,25,23,23,19,13,13,8,7,6,3,8,10,8,8,9,""
15,12,12,11,28,22,23,23,16,18,22,37,28,16,8,9,9,5,8,6,8,19,12,11,10,""
16,10,14,14,20,37,21,35,31,23,34,39,22,15,14,14,8,4,7,10,2,8,5,10,9,""
17,14,14,12,19,30,25,21,18,8,28,35,26,14,15,9,9,6,14,7,12,28,11,11,8,""
18,10,11,12,24,19,24,31,15,13,26,29,25,12,9,9,7,8,10,8,12,17,9,13,13,""
19,11,17,14,18,31,22,29,16,22,21,26,21,16,7,8,7,10,9,6,7,13,11,12,11,""
20,16,11,12,22,25,27,21,18,14,15,19,19,23,10,6,7,9,11,14,10,11,10,14,10,""
21,11,19,11,16,27,26,15,16,17,20,23,27,13,10,8,5,7,4,8,6,16,15,12,11,""
22,7,10,15,21,15,4,0,5,19,21,32,27,18,16,13,5,8,11,10,16,33,18,11,7,""
23,13,11,17,19,18,14,25,22,22,32,26,22,17,8,9,3,7,14,6,9,9,11,6,8,""
24,6,10,11,14,20,20,22,13,18,29,23,19,15,14,16,8,8,5,12,16,23,13,10,9,""
25,7,8,14,14,12,21,24,23,15,13,20,9,12,7,8,2,7,9,4,11,10,9,9,5,""
26,11,11,11,17,14,12,18,17,22,9,11,14,12,12,8,9,7,4,8,7,7,12,10,8,""
27,6,11,13,19,14,19,23,19,15,17,23,20,20,11,9,4,7,5,13,6,13,11,9,5,""
28,14,4,15,13,19,16,17,15,10,16,19,13,11,9,7,5,6,1,3,1,16,10,5,7,""
29,7,11,13,12,25,15,22,8,18,14,20,10,11,7,8,4,6,8,2,5,8,14,5,9,""
30,13,12,12,19,18,14,23,17,15,40,29,27,12,7,13,7,4,2,7,6,12,7,10,8,""
31,12,7,9,16,17,17,18,10,14,14,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
