jan,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,065,069,087,100,103,076,091,073,095,086,069,077,088,070,048,045,046,038,040,056,050,051,060,057
02,076,062,083,076,073,102,073,080,058,090,073,084,073,067,069,058,048,048,049,058,051,062,068,066
03,082,071,088,074,089,093,091,084,081,068,074,074,100,102,107,059,079,063,066,079,116,130,099,106
04,114,141,203,199,263,258,282,161,211,241,271,285,267,208,162,103,106,066,045,046,054,080,073,072
05,092,082,089,119,094,112,108,074,078,107,090,106,080,069,054,061,030,047,039,052,054,058,063,069
06,084,074,054,096,114,098,087,092,076,095,083,090,054,043,059,045,049,044,034,061,075,066,068,094
07,086,109,094,099,106,126,077,091,058,065,063,049,071,065,056,051,032,035,047,052,054,064,064,077
08,068,082,102,100,101,087,084,089,075,062,054,062,082,066,061,035,051,032,033,061,047,045,059,059
09,079,077,074,090,082,086,075,088,071,071,067,085,073,069,048,041,034,045,049,047,055,043,062,059
10,061,081,065,049,060,059,054,060,067,050,050,053,064,064,050,043,035,036,029,041,046,038,034,049
11,057,053,063,063,058,081,070,075,083,060,060,062,064,057,038,028,053,043,046,050,052,097,079,090
12,117,087,108,108,081,086,080,090,081,088,074,085,072,073,055,046,046,050,042,058,045,061,056,073
13,143,057,069,160,150,075,099,083,061,088,072,101,076,107,072,090,033,053,056,057,066,069,067,070
14,075,069,048,124,060,091,096,078,085,070,075,090,096,101,065,049,057,039,059,056,053,077,052,055
15,067,072,085,097,095,064,091,074,074,093,080,099,084,060,042,059,034,037,042,040,042,054,051,060
16,070,063,083,062,075,080,083,049,069,053,062,072,067,060,046,035,037,041,032,036,049,059,041,066
17,068,069,086,106,095,087,076,084,080,082,096,097,084,089,045,056,037,047,047,047,066,052,073,081
18,086,079,080,091,109,125,118,105,096,069,080,064,075,059,062,056,047,041,030,036,063,062,071,084
19,086,095,083,085,101,100,098,074,083,069,076,101,106,092,056,043,039,031,034,045,061,057,057,071
20,080,071,095,086,085,083,085,089,065,080,082,095,090,062,040,048,046,050,034,048,046,060,067,083
21,080,088,081,092,075,084,078,075,083,083,088,085,083,077,052,047,031,048,042,045,052,061,068,091
22,080,102,093,114,089,038,008,047,098,085,089,072,074,081,045,048,037,050,036,055,068,059,069,071
23,087,075,096,099,079,104,104,100,071,076,106,084,083,077,050,044,000,038,049,047,047,057,063,073
24,079,058,071,063,074,065,074,058,057,049,053,062,050,060,043,033,029,033,044,030,040,048,054,064
25,064,056,065,052,051,059,071,086,080,062,077,076,055,059,046,045,038,038,037,050,049,060,047,059
26,056,052,068,067,077,068,074,053,051,051,072,056,066,054,038,033,031,050,042,051,050,060,051,056
27,072,068,067,054,063,050,070,059,061,078,061,066,058,039,036,034,032,033,030,036,040,040,066,048
28,077,074,055,072,082,086,076,072,070,082,090,068,096,078,083,054,058,045,052,052,062,054,058,079
29,064,056,060,079,085,074,082,097,072,061,067,077,080,068,065,056,046,073,059,059,073,052,080,083
30,092,082,070,086,087,077,080,072,079,070,069,079,069,057,049,043,054,055,049,046,056,072,062,060
31,071,106,046,098,109,075,119,102,078,078,088,081,071,065,055,052,044,065,056,062,056,069,040,-1,-1
