dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,25,21,26,23,19,27,8,25,10,12,25,9,9,22,7,10,8,-1,17,21,23,27,22,13
02,18,29,24,30,31,23,19,19,22,31,26,9,7,8,12,6,10,18,12,15,12,12,10,21
03,15,17,19,36,19,17,19,15,24,13,20,16,4,3,2,0,6,3,3,11,21,24,15,6
04,7,5,10,3,6,2,4,6,1,9,8,12,5,10,6,10,16,5,19,15,25,26,20,18
05,19,22,23,18,16,17,15,18,20,18,8,6,9,5,14,11,11,23,24,20,24,20,17,26
06,7,21,21,14,30,20,35,15,15,15,16,15,9,14,4,10,6,13,19,20,17,19,22,11
07,25,25,13,33,22,28,36,31,22,15,12,9,11,5,7,-1,-1,-1,-1,-1,-1,18,24,4
08,17,29,15,14,13,3,10,10,9,12,8,9,8,6,2,3,14,10,13,-1,12,19,19,6
09,8,11,10,15,16,13,15,16,16,9,13,1,5,4,1,5,11,7,12,12,20,27,10,12
10,12,10,10,27,14,20,14,16,8,8,9,5,9,5,9,4,8,15,21,29,30,29,21,10
11,17,14,20,24,14,28,27,21,14,6,10,1,6,7,10,5,8,25,25,39,35,42,32,10
12,10,14,18,39,22,26,28,15,12,14,6,8,5,9,6,9,15,21,-1,-1,-1,18,41,10
13,10,5,12,15,14,15,17,13,10,19,16,5,12,2,4,8,11,28,33,50,46,80,46,8
14,9,6,20,22,24,29,37,18,16,3,11,9,7,2,3,2,11,9,13,27,27,25,23,10
15,17,14,17,18,9,20,21,13,7,12,11,0,1,12,4,0,10,9,11,10,10,7,8,5
16,17,13,15,12,8,15,6,7,2,10,6,2,2,3,1,4,2,-1,-1,-1,-1,4,-1,-1,-1
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,9,8,10,14,13
18,11,26,14,12,14,12,27,13,10,21,4,6,6,4,8,9,7,7,17,11,21,23,31,17
19,10,28,20,26,28,27,25,15,31,17,19,10,4,4,1,2,1,4,2,2,1,1,3,14
20,32,15,27,19,26,26,22,43,34,15,9,20,12,10,11,22,28,12,26,35,28,16,23,22
21,15,31,23,27,24,22,28,40,27,11,20,16,10,2,5,1,5,5,8,15,12,4,6,2
22,23,3,10,8,9,6,9,3,5,6,5,3,4,3,1,1,2,9,9,27,17,17,18,18
23,17,12,21,27,20,20,27,17,21,19,33,20,18,10,10,14,12,8,-1,14,12,24,19,15
24,16,20,26,15,15,19,22,21,27,1,15,6,3,9,4,2,7,4,9,4,12,6,10,9
25,10,12,19,13,14,11,12,16,8,14,7,3,7,1,2,6,6,7,6,17,18,7,13,11
26,7,9,14,12,8,8,10,11,2,8,5,3,6,3,3,43,12,1,0,0,0,10,23,0
27,0,0,0,-1,-1,-1,-1,-1,1,0,2,2,4,4,1,-1,3,0,2,0,0,0,7,0
28,0,0,1,0,0,0,0,0,0,0,0,2,7,2,8,5,8,1,0,7,0,1,5,1
29,10,11,7,12,10,7,10,4,4,5,5,3,6,3,5,1,2,12,0,1,3,3,1,10
30,9,11,16,15,13,10,15,8,12,6,8,2,6,3,4,4,7,17,0,1,0,1,1,1
31,2,2,2,1,4,3,2,5,3,3,11,4,3,1,2,5,4,6,7,8,6,13,6,-1,-1
