jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,27,13,28,19,38,36,61,61,87,118,118,110,106,92,127,109,114,125,106,88,81,55,43,26
02,21,21,14,19,21,26,61,41,87,86,112,86,137,111,104,141,120,122,116,90,107,87,33,20
03,20,11,13,21,27,36,55,52,90,96,93,107,-1,-1,-1,84,100,80,82,84,72,37,28,22
04,15,16,27,10,31,20,38,51,59,73,110,105,94,96,99,102,108,75,58,86,0,0,21,46
05,25,-1,33,18,19,28,27,66,83,93,105,123,79,73,101,121,127,132,108,123,97,69,48,22
06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,112,151,135,136,104,-1,-1,-1,-1,95,73,75,58,48
07,45,0,0,20,22,26,54,61,62,115,122,136,125,90,82,71,85,74,38,49,22,48,36,29
08,27,21,30,14,6,11,15,44,110,135,123,165,136,127,125,148,140,112,63,86,38,31,30,25
09,-1,-1,21,17,21,43,70,80,115,122,121,113,143,96,131,87,51,45,92,-1,-1,-1,-1,-1,-1
10,41,21,26,13,35,38,60,82,112,124,129,136,133,120,116,108,117,84,84,-1,-1,-1,-1,-1,-1
11,-1,-1,-1,13,22,33,43,51,89,95,111,133,121,91,91,98,102,84,101,55,22,24,28,32
12,33,28,28,35,37,37,49,72,89,95,123,114,117,101,88,88,98,100,88,62,56,59,59,31
13,37,27,19,26,26,39,59,70,89,112,122,118,125,120,76,117,67,86,87,78,48,50,37,33
14,20,25,18,22,28,38,47,57,83,118,146,148,129,86,95,94,78,41,59,33,32,27,27,17
15,14,16,16,27,33,40,55,97,91,121,119,127,170,113,87,77,10,26,38,29,53,54,6,29
16,14,20,13,17,24,43,63,46,96,115,120,141,109,65,84,80,76,36,51,39,57,37,28,23
17,34,20,18,20,36,41,48,69,97,116,132,94,121,77,61,106,78,86,45,38,27,16,13,6
18,3,10,10,20,20,24,26,59,71,92,111,107,78,75,49,63,39,64,58,44,40,45,36,24
19,33,-1,-1,32,16,23,42,63,71,87,90,90,83,85,48,70,39,48,64,53,54,39,21,22
20,25,22,15,17,24,36,43,64,75,87,100,73,81,68,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,-1,-1,56,40,48,75,102,105,104,108,143,137,132,119,88,86,70,71,63,46,58,30,39,41
22,35,34,32,48,52,71,89,119,152,143,123,138,112,97,110,78,60,-1,-1,-1,65,33,38,36
23,43,-1,-1,60,53,76,114,127,152,130,129,124,113,96,77,86,100,67,44,40,-1,-1,37,42
24,32,35,43,50,75,186,159,156,166,172,162,176,124,143,110,110,147,107,-1,-1,-1,39,46,55
25,57,-1,54,42,84,131,168,199,221,248,204,190,195,173,133,111,-1,81,58,73,57,-1,-1,27
26,37,46,35,66,54,81,137,151,168,192,205,181,137,106,75,-1,-1,-1,43,27,66,45,40,41
27,-1,-1,-1,-1,102,136,171,206,239,256,239,238,228,196,163,207,150,179,134,138,49,52,47,31
28,27,34,-1,-1,94,166,169,190,232,250,267,256,224,242,130,78,63,95,103,83,97,51,60,40
29,60,69,78,33,85,129,239,218,240,223,267,240,200,153,128,44,66,60,111,154,71,92,90,42
30,34,31,26,31,60,76,116,134,156,158,156,145,141,102,102,-1,57,66,62,52,44,41,23,24
31,27,24,32,30,35,57,70,73,105,120,140,155,139,108,73,93,123,105,66,59,37,30,22,-1,-1
