jul,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,765,815,802,432,12,119,161,53,106,129,165,471,330,397,604,269,230,421,180,104,6,6,6,6,""
02,6,6,6,6,6,6,6,6,186,319,264,277,156,242,148,555,172,64,7,29,23,6,6,6,""
03,6,6,6,6,6,7,8,349,442,709,483,532,464,383,18,7,45,45,80,457,229,12,9,17,""
04,14,6,6,6,6,7,7,7,98,468,206,121,293,442,301,383,269,278,147,422,223,87,430,158,""
05,413,302,607,745,692,269,93,333,160,372,590,609,491,198,263,140,185,173,133,135,105,96,58,25,""
06,13,9,14,17,10,209,543,324,467,517,9,470,636,228,77,30,28,37,106,157,560,82,203,666,""
07,112,6,10,351,346,235,104,188,182,331,49,407,314,386,292,34,46,33,46,48,61,34,74,14,""
08,14,5,5,1,19,58,71,85,81,48,112,196,78,66,144,278,246,202,114,119,46,68,83,38,""
09,82,84,33,134,183,470,508,484,443,472,265,293,278,77,239,297,265,283,307,227,33,455,383,358,""
10,419,280,33,161,467,594,271,181,70,94,39,292,181,69,224,294,283,248,260,221,267,183,425,244,""
11,120,50,75,243,150,192,573,461,589,566,467,216,264,309,278,379,317,428,486,279,265,427,165,63,""
12,427,670,221,182,69,294,428,557,392,369,517,488,462,469,535,508,488,379,247,575,452,405,373,371,""
13,233,449,506,392,411,211,488,197,151,247,225,246,305,183,244,147,277,242,226,18,12,8,6,6,""
14,10,61,59,20,93,175,502,410,590,555,122,79,350,252,316,217,163,201,16,17,19,7,10,9,""
15,1,-1,-1,-1,10,37,30,22,33,19,22,18,18,28,19,17,23,12,26,14,20,24,17,5,""
16,6,1,-1,1,2,12,13,4,17,17,14,6,21,25,7,16,24,14,12,16,14,10,6,10,""
17,15,10,5,-1,14,17,43,32,11,23,7,78,207,48,32,25,46,122,59,68,27,122,63,167,""
18,60,122,392,574,525,207,220,257,259,171,215,197,272,297,69,24,58,61,51,36,25,44,50,19,""
19,19,2,9,4,5,25,59,34,53,5,28,18,14,19,22,12,34,25,29,25,33,23,36,24,""
20,3,3,5,2,14,49,59,23,21,8,27,28,33,24,37,24,43,33,55,23,18,31,25,7,""
21,10,2,4,-1,4,41,13,19,31,23,20,27,25,26,24,32,46,30,24,33,40,6,23,9,""
22,3,1,1,-1,8,64,80,70,51,55,22,42,62,77,86,49,69,22,32,23,29,24,60,22,""
23,8,11,13,1,11,27,18,8,39,90,140,99,65,34,43,221,117,128,318,314,47,34,116,450,""
24,394,124,59,347,736,218,239,348,31,114,75,56,49,104,70,115,110,73,457,300,47,65,61,26,""
25,15,22,67,140,347,170,68,181,105,44,182,73,271,246,126,139,101,86,97,32,21,160,231,11,""
26,5,-1,3,-1,11,21,33,23,53,21,16,20,32,10,47,38,29,41,54,43,33,13,34,17,""
27,8,2,2,2,8,48,55,38,23,12,27,37,44,53,15,25,36,30,31,19,7,16,151,430,""
28,304,6,2,2,4,35,17,30,53,26,35,26,35,39,127,208,168,428,616,96,48,22,28,25,""
29,6,1,106,476,462,209,164,183,165,244,250,121,242,483,393,389,256,255,93,447,220,211,12,8,""
30,13,19,164,625,242,276,353,492,509,253,111,473,442,573,526,407,371,391,279,340,261,52,68,54,""
31,15,8,262,439,44,74,60,65,21,19,15,254,241,256,485,712,472,577,560,601,535,176,6,1,""
