may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,190,217,159,137,175,286,312,333,315,334,263,161,164,162,243,341,151,126,35,31,43,64,93,138
02,142,134,111,156,137,218,299,281,296,283,189,123,153,329,334,287,129,45,54,48,69,88,110,147
03,178,176,176,206,191,253,308,310,-1,-1,354,311,422,153,166,157,86,68,30,27,58,90,125,137
04,148,173,238,177,244,309,350,343,378,344,230,168,200,149,174,112,96,56,40,38,41,57,105,139
05,142,176,148,188,195,353,393,433,427,350,253,176,278,207,132,154,96,84,54,31,51,75,120,141
06,171,205,214,246,272,345,452,456,378,311,294,182,148,151,160,159,124,52,35,38,60,88,148,271
07,349,182,155,194,290,348,437,476,426,333,260,191,125,179,184,137,35,13,340,147,202,74,103,169
08,219,276,237,196,249,387,458,431,400,405,295,171,203,151,180,193,206,167,58,32,51,95,448,128
09,173,173,185,202,277,317,378,447,382,303,418,194,162,98,128,150,138,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,33,42,78,94,132
11,145,153,143,370,202,240,312,284,288,195,159,-1,-1,87,57,250,58,122,32,67,50,51,239,136
12,148,167,142,133,168,256,266,353,322,291,191,122,83,116,124,149,84,71,27,33,34,54,93,153
13,142,145,157,129,160,221,304,331,305,250,187,139,108,97,137,150,110,51,55,46,61,84,124,159
14,197,188,160,170,219,288,296,435,361,297,212,229,174,275,209,163,318,177,57,130,190,419,186,176
15,206,242,293,173,211,302,342,317,341,420,485,388,100,145,455,203,208,-1,-1,110,395,291,384,230
16,226,174,146,123,252,600,424,389,387,320,136,136,142,113,155,146,96,61,48,63,55,76,110,161
17,196,182,182,187,200,265,329,346,474,454,256,410,169,120,181,147,340,6,18,6,536,-1,221,355
18,189,190,218,168,255,237,344,379,514,653,666,144,433,149,136,176,22,6,318,332,282,285,312,188
19,175,173,229,162,192,245,290,576,381,328,275,281,116,255,206,230,308,282,75,249,206,599,242,612
20,387,312,190,335,203,248,442,372,418,461,310,231,145,114,145,129,86,91,85,49,58,555,131,178
21,220,253,174,201,212,-1,-1,-1,-1,-1,-1,147,32,216,90,458,10,115,236,511,282,-1,-1,-1,-1
22,324,190,216,171,213,293,274,259,298,328,465,65,102,574,241,133,92,66,38,34,38,416,626,218
23,216,236,195,224,240,206,254,313,332,487,203,132,151,143,159,134,104,92,64,93,116,67,133,152
24,229,190,162,141,215,235,226,362,303,329,256,109,89,106,124,219,407,128,43,33,46,72,131,155
25,199,237,213,224,189,304,253,297,282,256,194,173,118,143,138,169,380,252,392,285,41,68,148,183
26,198,216,345,-1,379,221,330,246,261,125,298,58,356,405,474,158,139,71,94,48,457,205,351,162
27,196,189,176,175,176,236,287,289,333,222,194,171,124,100,215,148,202,116,-1,254,78,67,82,153
28,162,186,187,175,195,213,307,352,-1,349,210,93,97,97,129,227,215,81,54,55,113,211,290,388
29,411,585,251,214,322,-1,467,-1,363,253,10,6,13,326,347,171,409,162,60,46,62,81,96,179
30,195,193,227,265,-1,212,250,324,294,-1,249,148,108,113,156,-1,406,206,38,210,50,76,135,180
31,218,184,175,191,214,304,316,297,297,274,309,-1,-1,319,196,-1,274,103,431,-1,-1,-1,-1,-1,-1
