may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,155,164,188,198,221,221,269,310,350,359,323,314,270,200,166,125,123,41,42,39,55,72,111,126
02,177,194,200,205,255,260,286,331,333,330,282,225,223,209,185,122,79,31,40,35,65,77,112,150
03,166,185,174,226,284,278,346,339,361,312,300,236,245,223,185,113,72,53,37,42,38,61,106,138
04,153,190,191,244,233,298,312,356,360,314,292,294,243,201,180,151,70,0,0,0,0,0,0,0
05,0,0,0,0,0,202,400,399,380,399,379,339,299,235,203,147,95,63,55,60,65,114,127,186
06,237,203,250,259,280,385,412,414,405,364,309,312,254,222,209,144,93,59,45,56,54,86,122,129
07,204,222,214,285,244,312,309,358,392,358,301,263,263,243,212,124,72,56,43,47,35,79,114,136
08,185,199,252,285,296,355,382,385,385,384,327,275,280,0,72,105,21,64,8,0,0,108,126,110
09,171,196,232,242,280,339,400,361,359,123,55,323,341,279,239,55,32,181,98,71,57,90,112,142
10,164,153,0,0,0,54,326,329,335,276,264,232,248,202,161,107,59,43,37,51,48,82,100,145
11,73,0,153,221,220,255,353,285,197,38,273,231,233,186,118,111,79,40,36,46,61,42,0,0
12,0,0,0,0,168,328,362,211,0,56,162,263,251,224,219,25,0,0,40,49,48,85,105,69
13,134,179,203,227,258,291,397,346,375,58,78,291,325,228,206,181,140,72,37,45,74,100,136,176
14,207,220,227,277,306,335,41,0,352,282,312,180,264,61,178,182,102,58,50,52,69,93,118,214
15,212,226,204,265,263,268,313,307,364,255,272,249,288,222,203,155,86,0,0,0,0,0,0,0
16,0,0,0,0,0,166,317,341,381,353,305,302,287,260,271,184,103,82,80,66,68,82,108,153
17,197,226,225,261,259,278,305,286,324,336,280,295,272,239,226,0,0,0,0,45,50,60,98,134
18,159,196,236,252,242,270,306,328,335,285,281,262,256,209,130,67,28,48,32,30,16,36,63,91
19,139,188,170,186,225,260,275,291,293,285,242,174,143,164,170,133,107,65,59,53,55,88,116,194
20,185,171,212,215,218,264,315,355,407,361,290,266,206,220,213,142,101,71,55,59,89,95,106,179
21,251,231,244,260,299,336,342,365,291,266,254,265,323,255,296,159,50,27,0,144,53,108,147,134
22,150,205,202,260,257,285,311,344,347,238,146,320,317,246,266,194,84,59,39,57,64,94,135,146
23,172,166,214,0,86,380,337,178,268,58,344,280,325,0,0,0,0,0,0,61,73,115,133,149
24,196,190,216,228,268,298,334,363,340,290,264,229,235,237,209,147,153,0,0,48,82,89,119,173
25,200,242,196,248,255,273,314,321,321,0,0,236,234,233,0,0,0,81,28,46,65,76,90,154
26,148,204,201,266,230,182,340,283,257,320,252,261,263,219,212,171,78,0,0,82,0,75,116,158
27,178,244,221,220,237,320,395,283,193,10,101,203,229,204,137,0,0,0,0,40,49,93,96,160
28,167,229,245,261,264,286,25,0,101,358,291,0,0,0,0,0,0,0,0,0,0,0,147,199
29,206,280,273,290,303,354,353,386,423,371,332,285,325,247,260,310,50,78,95,96,103,139,141,194
30,172,216,243,282,277,320,329,9,32,357,273,209,241,206,245,183,92,100,53,80,91,95,126,158
31,202,253,264,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
