Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,-1,2,6,5,20,13,16,24,9,8,9,7,11,5,3,2,1,-1,4,1,5,1,4,-1,-1
2,-1,4,12,8,17,9,30,7,8,8,3,3,6,3,2,3,-1,1,-1,-1,3,2,-1,-1,-1
3,3,3,3,5,6,6,11,15,6,19,14,3,3,5,4,1,-1,1,4,7,8,12,-1,-1,-1
4,1,6,9,13,12,7,22,10,3,4,4,3,1,1,1,-1,-1,-1,7,-1,3,2,13,-1,-1
5,-1,1,14,5,7,5,12,8,6,2,6,3,5,4,1,-1,1,-1,1,2,2,2,1,-1,-1
6,2,5,10,8,10,11,9,22,40,15,13,6,10,7,2,10,8,5,-1,9,8,1,1,-1,-1
7,1,7,5,4,13,6,15,11,13,16,8,11,5,3,4,3,1,2,4,-1,6,2,1,-1,-1
8,3,2,6,9,19,14,20,8,14,7,10,13,9,1,1,9,-1,1,2,3,4,3,6,-1,-1
9,-1,9,7,5,13,9,2,7,10,7,12,9,5,12,6,3,4,1,5,13,10,8,2,-1,-1
10,-1,4,11,23,11,18,29,6,20,8,8,-1,-1,5,1,1,2,1,3,4,3,4,1,-1,-1
11,-1,4,9,21,14,8,17,6,12,6,9,8,5,1,-1,2,-1,3,22,2,2,3,1,-1,-1
12,-1,6,7,14,20,13,8,6,14,7,6,15,4,2,2,7,2,1,2,2,6,3,-1,-1,-1
13,1,5,13,6,31,14,18,23,9,15,14,6,2,3,4,5,-1,-1,12,4,2,2,1,-1,-1
14,-1,2,2,3,9,15,23,16,11,5,5,8,5,11,2,4,1,1,3,5,4,3,8,-1,-1
15,-1,1,4,11,8,15,6,11,12,4,4,3,2,4,1,2,-1,-1,1,1,3,5,3,-1,-1
16,1,4,9,8,8,30,7,16,8,11,8,7,4,2,3,1,1,2,4,5,5,5,1,14
17,2,2,6,11,-1,19,9,11,7,18,6,8,5,3,-1,2,1,-1,2,2,6,4,-1,-1,-1
18,-1,4,8,13,16,-1,9,9,9,5,8,8,2,6,4,6,2,-1,5,3,9,18,3,-1,-1
19,3,1,6,8,6,18,7,17,6,9,6,10,3,3,3,-1,-1,-1,2,3,2,2,4,5
20,-1,4,3,7,17,1,5,12,24,4,29,7,2,2,2,9,2,1,2,3,2,2,2,-1,-1
21,-1,1,1,1,14,21,4,43,19,11,11,6,3,3,4,2,1,1,1,2,1,4,2,-1,-1
22,-1,1,8,6,22,11,5,10,5,13,7,3,13,1,2,1,1,3,2,4,2,3,5,4
23,-1,1,13,13,9,11,9,25,11,14,5,2,13,11,1,1,1,-1,4,-1,8,8,1,-1,-1
24,-1,-1,7,8,11,3,11,29,19,7,10,2,1,2,4,-1,1,1,4,8,30,17,2,-1,-1
25,-1,-1,1,6,23,27,10,8,27,11,7,8,9,5,1,-1,-1,-1,2,7,4,1,1,-1,-1
26,-1,-1,2,26,8,16,8,10,7,11,5,4,2,1,1,1,1,3,2,4,3,2,1,-1,-1
27,-1,-1,4,24,20,26,10,10,29,21,14,15,14,18,1,3,-1,3,1,4,5,4,1,-1,-1
28,-1,-1,-1,3,17,23,18,31,28,14,17,4,14,15,9,4,5,2,-1,5,8,11,2,-1,-1
29,-1,-1,14,11,31,8,42,27,16,11,5,4,1,9,4,4,1,1,2,-1,-1,8,8,-1,-1
30,-1,-1,8,22,16,22,8,9,11,10,14,9,12,3,3,1,-1,2,2,3,4,4,1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
