Sep,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,13,12,23,12,12,13,8,19,22,20,-1,-1,-1,-1,-1,59,17,15,8,10,7,19,12,5
2,5,6,12,27,26,21,12,11,19,15,18,8,24,11,17,15,20,12,8,6,13,12,10,10
3,13,11,-1,-1,-1,-1,-1,-1,13,15,40,7,18,19,35,17,15,15,16,9,14,15,6,7
4,5,17,7,22,22,18,16,24,16,18,12,8,12,32,32,14,14,13,6,6,20,-1,10,9
5,6,12,12,16,22,12,9,25,14,-1,-1,19,16,63,87,18,11,14,13,10,13,17,12,11
6,3,11,13,17,27,14,14,20,16,10,14,11,19,16,37,8,9,7,5,9,10,11,9,21
7,4,3,12,12,15,15,17,9,25,-1,-1,-1,6,7,11,43,67,6,5,12,9,6,12,4
8,2,2,11,7,7,10,12,81,31,-1,-1,-1,13,16,-1,-1,-1,7,7,11,7,14,4,10
9,21,3,14,12,15,11,9,18,18,11,11,8,8,7,11,25,30,20,18,11,16,14,14,14
10,12,20,23,18,16,29,29,29,89,34,15,31,22,30,28,-1,31,23,22,13,14,16,9,8
11,21,11,13,31,27,33,26,21,28,27,15,11,19,17,21,31,35,8,17,16,12,26,19,16
12,23,22,16,18,30,21,31,22,13,17,15,7,16,42,22,15,10,12,12,12,14,19,10,7
13,15,8,8,7,19,22,21,22,24,14,29,16,32,-1,25,22,17,10,4,18,16,13,9,9
14,5,12,8,14,19,22,13,26,18,18,24,18,10,16,17,12,19,8,4,12,6,11,7,9
15,12,4,10,13,14,13,12,21,13,16,17,13,16,23,14,7,30,9,13,10,12,18,12,8
16,10,6,14,15,22,14,15,37,17,25,26,14,20,40,30,20,18,16,14,12,12,10,8,11
17,11,10,17,12,17,25,15,29,53,35,24,26,40,28,24,27,22,23,16,15,21,27,21,18
18,13,11,15,23,20,15,25,32,20,33,18,19,26,33,17,25,14,13,15,18,23,13,32,15
19,15,13,11,22,9,27,15,19,24,27,18,11,20,23,29,19,24,23,12,9,19,23,24,17
20,14,14,15,16,17,31,31,28,21,20,16,27,26,23,34,24,24,15,14,18,12,16,15,9
21,15,18,20,22,19,30,18,23,22,27,27,16,41,23,25,25,24,26,17,29,10,14,13,9
22,18,21,18,39,23,40,28,37,50,20,18,28,18,29,29,29,28,20,22,19,17,21,19,15
23,18,14,8,28,31,15,25,18,27,35,23,25,23,15,26,24,23,10,17,21,17,13,21,17
24,12,20,15,24,22,20,24,18,19,43,30,25,20,26,38,33,23,14,19,29,20,35,15,16
25,16,14,10,25,25,24,23,20,26,34,15,16,14,20,15,27,41,9,15,17,22,20,18,15
26,19,11,15,24,27,32,32,19,91,99,27,11,27,21,34,13,39,68,16,18,16,13,12,20
27,19,15,14,15,19,39,20,18,16,20,24,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,19,28,18,17,128,92,8,-1,18,13,16,23,32
30,26,17,18,30,34,36,39,41,35,32,25,21,36,52,25,34,30,30,39,19,22,30,29,20
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
