oct,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,206,210,199,190,171,193,191,167,188,185,218,225,189,174,111,56,78,64,52,81,127,142,-1,141
02,201,222,191,208,191,186,170,162,189,195,193,179,171,144,118,13,71,42,61,77,87,106,155,219
03,228,248,222,214,198,191,129,159,176,155,204,229,185,147,73,71,59,31,86,46,69,97,118,170
04,232,231,216,200,195,216,166,175,157,224,194,179,172,55,96,53,62,46,47,82,86,109,143,184
05,212,195,207,213,183,174,188,164,159,173,193,160,104,107,86,54,55,34,42,70,76,114,133,163
06,198,232,238,203,233,230,218,148,189,162,120,151,177,121,97,68,55,66,69,51,96,105,160,159
07,205,206,192,187,207,197,176,152,166,122,159,160,117,96,89,101,57,41,46,32,93,125,143,201
08,234,234,200,228,197,162,126,158,179,181,160,165,109,90,63,52,62,34,47,67,100,106,-1,148
09,209,196,186,202,178,176,158,167,169,187,153,142,128,106,70,47,48,51,50,71,93,123,137,192
10,213,176,206,224,235,207,160,159,151,140,158,117,126,113,85,54,71,43,52,82,73,112,118,131
11,156,186,199,192,177,176,124,177,174,141,150,172,132,124,73,65,42,46,50,78,105,129,174,197
12,228,210,226,190,177,185,162,144,174,143,-1,103,129,117,92,69,46,48,54,56,93,116,161,172
13,189,223,179,182,170,176,140,176,166,124,125,137,137,121,94,79,50,41,35,82,94,130,147,184
14,225,221,212,191,167,149,146,137,172,161,163,123,111,106,67,72,42,63,50,72,100,114,167,189
15,222,218,214,229,182,187,182,157,123,176,174,148,127,101,68,49,93,48,60,71,96,105,120,179
16,222,166,168,231,186,183,157,130,112,102,131,107,98,99,47,53,25,33,62,82,87,113,155,157
17,220,227,230,175,210,181,165,213,183,130,146,141,124,87,76,57,47,57,62,82,101,131,150,192
18,217,237,234,228,209,194,195,180,194,168,71,123,110,85,70,66,45,42,82,91,107,108,159,230
19,250,257,259,264,255,151,218,210,154,169,126,124,135,119,84,69,57,45,59,104,93,113,143,209
20,229,259,243,251,270,246,241,211,173,174,101,127,112,87,80,58,58,45,62,58,99,106,136,222
21,262,260,266,-1,-1,-1,-1,-1,-1,105,118,85,95,90,67,60,-1,-1,-1,-1,-1,-1,-1,47
22,279,291,303,311,282,287,292,274,185,195,151,144,113,97,68,67,55,49,36,62,69,111,185,225
23,259,290,253,219,194,175,200,177,136,138,87,35,39,70,72,64,45,35,49,81,90,93,99,145
24,241,218,216,216,202,184,222,195,134,92,72,77,85,57,85,68,36,42,47,65,58,-1,117,171
25,223,258,242,252,231,208,244,217,137,104,77,83,99,86,65,64,32,36,59,59,82,94,148,154
26,149,155,156,197,180,143,142,122,136,104,130,114,93,93,90,62,38,23,40,76,89,83,125,117
27,146,192,132,164,154,132,174,120,98,108,144,122,60,112,102,57,56,64,62,56,73,90,122,153
28,142,205,169,151,148,133,138,-1,-1,79,70,54,63,63,55,35,39,40,46,63,103,109,119,-1,-1
29,146,147,156,160,155,130,169,154,94,102,-1,-1,24,37,82,84,38,66,62,87,79,98,117,134
30,172,234,168,137,103,102,110,141,89,89,115,118,106,-1,15,36,33,59,38,73,-1,-1,125,119
31,138,196,172,164,149,168,140,155,104,118,144,134,106,94,61,52,52,39,54,55,70,-1,21,-1,-1
[E]hgmpI}lel`z`fg'o0'jf',b
