may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,78,78,88,112,125,128,153,150,178,219,218,185,158,159,132,82,37,28,24,25,43,52,29,51,""
02,57,47,86,80,106,125,160,186,192,184,185,177,163,138,83,24,-1,25,12,12,14,17,35,54,""
03,79,88,97,84,96,149,156,204,186,176,192,198,181,159,108,59,24,25,15,21,12,22,29,38,""
04,42,75,81,79,118,135,166,188,215,185,188,189,202,149,99,58,34,29,18,15,19,18,41,52,""
05,62,80,97,84,101,139,190,224,201,222,235,209,187,138,97,56,39,18,8,12,28,20,28,53,""
06,63,81,72,79,142,156,162,213,242,222,192,188,175,142,110,61,29,18,14,51,11,12,28,51,""
07,61,79,71,92,103,113,165,245,243,247,203,204,181,174,122,73,29,21,17,12,15,23,29,52,""
08,48,65,100,92,132,122,184,193,198,205,233,230,189,114,109,59,33,24,19,13,18,19,42,51,""
09,55,65,71,90,104,155,185,228,240,178,190,174,162,117,107,55,42,12,16,13,16,20,31,49,""
10,54,57,65,82,85,123,155,195,221,231,197,-1,-1,-1,-1,-1,41,8,9,6,19,9,22,15,""
11,24,33,24,35,46,74,67,89,78,180,110,85,82,56,51,26,12,15,15,15,4,23,9,19,""
12,16,27,22,26,27,51,63,87,104,79,99,103,81,71,54,32,8,11,14,11,16,18,21,20,""
13,26,42,42,44,41,53,73,102,138,108,105,88,60,66,83,43,22,6,12,9,11,9,15,19,""
14,31,35,31,47,45,59,62,91,59,113,206,213,160,148,132,115,51,37,15,47,55,32,-1,0,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,201,240,184,173,151,118,73,69,50,38,21,48,60,77,""
16,80,77,97,95,125,172,178,187,189,195,188,149,144,102,111,67,38,43,34,18,38,48,75,106,""
17,142,149,133,171,236,242,298,287,279,296,280,209,194,186,178,131,83,67,37,34,52,62,68,85,""
18,127,143,136,155,158,253,264,286,306,289,255,238,192,84,-1,-1,72,54,38,30,38,73,97,123,""
19,130,171,182,215,258,249,290,304,322,305,271,244,231,210,194,140,122,78,44,40,65,98,105,154,""
20,211,204,207,207,288,263,367,398,357,338,295,242,234,211,121,126,88,46,45,37,60,70,104,124,""
21,128,168,204,200,223,240,266,297,322,265,303,262,240,163,158,132,91,59,40,28,47,61,87,137,""
22,168,158,171,180,188,197,222,273,278,324,281,201,205,252,138,142,66,53,37,38,41,68,121,155,""
23,169,173,151,194,228,240,307,281,292,260,254,242,208,191,144,109,102,56,59,42,53,83,107,135,""
24,133,171,194,182,242,239,295,370,432,401,358,312,270,240,214,30,30,30,52,58,48,66,83,122,""
25,157,191,161,179,232,225,298,390,367,378,347,326,230,236,205,172,123,33,36,44,46,57,101,149,""
26,181,205,190,192,235,271,270,265,277,259,282,267,264,140,9,10,6,6,6,16,71,33,6,6,""
27,159,209,200,201,247,294,351,405,394,158,211,236,265,235,191,178,140,99,59,40,66,84,93,146,""
28,202,202,223,200,250,254,309,316,352,339,277,273,182,219,193,185,115,21,17,20,24,28,25,58,""
29,155,182,185,240,227,217,270,285,294,327,260,245,226,243,199,149,127,78,44,45,52,90,128,165,""
30,191,208,217,237,238,271,304,330,341,341,270,264,162,81,65,83,119,64,66,10,52,67,100,142,""
31,185,224,180,212,274,272,261,305,171,296,322,262,193,234,217,184,109,28,30,67,67,93,107,22,""
