may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,37,48,47,42,39,39,68,49,50,56,35,34,41,51,25,29,17,17,15,10,19,29,31,35,""
02,33,35,54,42,37,59,55,44,47,45,49,36,36,28,22,22,18,10,10,18,22,23,30,26,""
03,28,24,39,42,63,62,72,56,45,49,52,30,34,36,30,17,15,15,11,15,23,27,41,39,""
04,36,46,41,58,53,38,67,58,42,51,41,23,36,34,27,18,15,17,18,22,15,27,41,41,""
05,38,28,23,60,57,75,61,61,49,69,45,35,29,33,23,27,17,15,9,15,19,19,27,26,""
06,33,27,43,59,45,75,66,84,66,44,29,29,38,34,29,19,23,22,13,21,20,27,33,39,""
07,36,34,28,51,73,83,101,73,90,34,50,53,41,47,34,28,26,21,18,18,26,29,28,42,""
08,28,47,47,66,84,81,89,101,96,74,44,43,57,48,51,32,29,26,33,32,23,20,26,28,""
09,37,54,57,71,70,81,82,62,57,70,57,41,43,50,40,34,25,18,14,21,7,20,24,29,""
10,19,35,28,50,70,50,51,75,58,48,38,28,33,49,42,28,23,28,22,13,22,29,40,31,""
11,37,42,39,63,54,63,51,56,47,37,38,30,36,41,31,30,33,22,17,25,24,20,23,29,""
12,29,43,45,39,75,80,59,64,61,53,16,10,2,9,9,22,17,9,22,21,17,27,18,46,""
13,35,40,41,39,77,68,71,57,42,43,32,23,31,17,36,27,16,15,19,17,22,32,34,53,""
14,50,39,45,52,51,63,66,58,62,41,53,43,33,25,26,25,20,13,17,13,13,18,28,24,""
15,26,20,28,38,43,51,32,32,44,38,28,22,29,18,36,11,23,16,17,23,26,20,29,34,""
16,34,39,37,45,53,59,69,65,52,36,33,25,21,29,27,16,14,17,12,8,17,33,22,22,""
17,32,28,38,35,48,55,65,64,50,44,34,42,27,34,31,40,15,15,25,10,19,30,26,33,""
18,48,53,35,51,56,58,61,42,39,47,32,18,48,34,25,23,28,10,24,23,19,24,28,42,""
19,41,40,36,43,50,46,57,62,66,32,37,30,38,29,35,36,21,29,18,18,30,23,32,28,""
20,35,32,40,46,56,51,74,44,56,49,34,35,30,36,37,34,33,33,30,22,24,39,35,33,""
21,32,56,51,40,56,59,50,51,55,70,28,36,37,39,46,58,37,28,21,21,24,33,31,33,""
22,38,40,47,33,42,43,74,56,50,73,68,29,37,40,41,26,28,26,20,28,24,25,31,39,""
23,41,41,54,32,40,39,43,35,39,36,30,24,33,30,27,23,26,19,22,11,22,25,33,29,""
24,37,32,47,51,41,46,65,70,54,31,30,27,26,29,23,22,19,13,11,15,18,29,40,36,""
25,49,45,47,38,46,64,47,49,36,34,30,34,25,30,38,25,27,13,16,14,22,21,29,22,""
26,31,27,26,40,47,60,59,41,32,34,23,30,36,39,70,58,66,28,30,21,21,31,32,41,""
27,36,42,52,53,53,60,74,62,53,53,25,50,30,26,30,20,22,27,20,13,10,19,22,28,""
28,27,33,39,30,52,56,43,47,40,35,23,19,24,28,27,13,23,12,21,18,24,27,33,32,""
29,40,39,47,48,58,53,56,42,51,34,27,20,15,29,23,21,16,24,19,17,27,24,43,32,""
30,35,36,51,46,53,71,66,61,45,49,34,30,28,33,40,34,38,19,18,26,30,36,38,45,""
31,45,29,30,49,57,72,75,39,37,35,34,32,21,15,23,13,18,10,17,14,29,35,32,-1,""
