Apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,1,-1,7,1,-1,-1,-1,1,-1,1
2,-1,1,1,3,5,2,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,24
3,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,3
4,6,-1,-1,-1,-1,1,-1,9,-1,1,-1,3,1,-1,-1,-1,3,35,14,23,1,-1,1,9
5,12,7,27,6,-1,-1,-1,2,-1,-1,-1,-1,-1,36,37,4,54,13,1,13,-1,-1,4,6
6,-1,-1,6,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,51,9,54,30,78,18,18,1,-1,10,26
7,-1,7,32,1,-1,-1,6,7,-1,-1,-1,-1,2,-1,-1,-1,7,11,-1,3,3,-1,-1,1
8,-1,-1,47,57,84,-1,40,1,-1,-1,-1,-1,-1,-1,-1,1,37,46,-1,32,40,34,25,4
9,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,22,19,-1,-1,-1,-1,-1,-1,-1,2,-1,2,88
10,22,33,20,-1,3,85,7,19,-1,-1,-1,-1,52,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1
11,-1,4,22,18,20,-1,-1,-1,-1,-1,-1,12,73,-1,-1,1,187,132,96,40,9,9,-1,1
12,25,-1,11,57,30,39,11,35,-1,-1,-1,-1,8,84,43,1,105,-1,9,26,14,-1,-1,40
13,35,2,-1,1,2,3,6,54,26,10,33,152,78,18,79,193,99,10,33,53,78,4,26,77
14,30,64,78,77,19,-1,13,-1,-1,-1,1,29,-1,105,43,35,98,21,16,58,19,-1,9,55
15,39,63,42,26,22,-1,2,-1,-1,-1,27,16,1,-1,-1,-1,40,58,1,15,1,-1,-1,18
16,-1,-1,2,-1,-1,-1,22,1,3,-1,40,41,56,-1,-1,-1,150,154,84,49,173,134,26,55
17,38,-1,22,5,1,-1,3,12,2,-1,-1,28,158,21,-1,3,140,36,378,419,305,13,63,39
18,-1,-1,-1,1,-1,4,-1,2,-1,-1,-1,-1,-1,-1,5,-1,99,27,4,69,15,-1,-1,27
19,14,11,62,41,8,25,15,101,7,57,135,59,50,36,1,-1,-1,1,1,30,16,40,18,5
20,23,2,29,23,59,51,-1,33,46,-1,-1,35,4,82,66,90,5,23,3,44,3,54,2,44
21,41,10,18,2,1,3,5,178,83,49,12,61,-1,22,113,-1,4,6,-1,1,-1,1,-1,3
22,-1,1,-1,-1,-1,-1,18,17,-1,2,-1,1,-1,-1,-1,2,3,149,49,41,53,1,14,17
23,25,97,66,60,42,39,77,2,1,-1,-1,-1,109,49,-1,-1,5,58,17,55,22,33,78,28
24,58,-1,7,80,-1,-1,8,36,2,118,-1,5,151,158,10,45,97,52,-1,25,17,55,50,51
25,24,-1,1,1,15,-1,14,59,1,3,78,147,21,2,10,36,145,145,204,16,60,156,7,-1,-1
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,291,38,35,54,130,-1,-1,36
27,30,1,72,9,-1,-1,-1,-1,28,60,45,30,18,53,209,124,60,64,134,122,23,200,179,28
28,67,-1,12,21,7,-1,-1,1,-1,-1,-1,6,7,-1,-1,2,88,64,59,8,73,16,-1,14
29,1,1,-1,1,-1,-1,-1,1,-1,1,-1,32,28,1,-1,1,34,84,111,69,83,1,1,54
30,-1,-1,-1,4,2,45,69,34,76,123,294,90,64,77,-1,1,222,2,9,4,-1,1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
