may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,13,20,12,16,23,23,21,53,25,14,18,16,23,28,34,21,9,26,90,130,9,10,9,16,""
02,30,34,28,26,39,39,50,61,51,54,27,30,22,15,29,16,9,14,109,77,12,7,16,28,""
03,30,37,35,24,33,50,49,61,50,64,35,43,41,19,20,14,9,6,53,55,8,16,22,25,""
04,21,21,28,27,44,62,56,77,54,64,40,46,24,26,30,17,17,10,13,94,8,8,20,17,""
05,29,19,33,40,40,51,81,76,73,62,58,39,106,22,24,18,8,10,3,6,6,12,15,8,""
06,21,28,25,28,38,77,66,59,60,47,29,26,24,31,25,10,12,1,63,46,8,15,19,30,""
07,24,25,32,33,43,62,66,56,84,68,38,29,25,22,22,10,0,1,8,3,0,2,4,7,""
08,18,12,20,26,33,41,42,51,34,35,54,32,34,39,25,20,11,21,68,62,5,16,24,27,""
09,23,27,17,24,49,33,43,65,66,42,34,30,24,30,26,17,16,7,32,44,8,10,8,24,""
10,26,31,31,35,36,55,50,51,45,51,36,35,25,16,24,25,12,5,21,67,8,17,21,23,""
11,31,30,27,39,21,43,61,46,43,40,28,14,24,26,13,16,14,12,32,30,11,7,19,14,""
12,19,26,23,41,40,45,46,50,46,40,38,29,30,27,28,17,15,9,11,7,17,16,23,27,""
13,24,35,30,31,46,68,49,58,56,41,36,24,28,32,28,25,19,15,10,8,16,15,22,19,""
14,23,20,22,30,29,43,44,62,74,52,29,21,20,21,20,10,21,7,27,46,6,6,15,14,""
15,18,30,30,36,23,44,46,46,32,28,31,14,19,32,23,14,22,6,41,118,12,15,15,19,""
16,18,23,23,16,19,31,35,50,42,32,23,18,13,26,15,14,11,4,37,95,8,11,11,13,""
17,20,24,27,26,30,29,25,27,31,28,25,16,24,27,18,14,11,12,14,42,27,14,17,18,""
18,20,25,28,38,36,45,44,28,42,25,14,19,17,26,16,21,14,10,14,19,9,9,19,19,""
19,13,23,21,25,25,30,38,40,33,35,26,21,17,22,19,15,11,3,15,47,6,17,19,12,""
20,19,25,25,16,26,47,40,40,52,23,19,30,16,22,33,23,7,14,3,9,10,8,12,18,""
21,16,19,19,25,28,46,40,33,29,30,21,21,16,17,27,18,13,10,5,0,13,9,10,19,""
22,23,21,21,29,24,32,46,55,39,27,16,15,18,17,21,9,19,14,11,17,13,8,17,14,""
23,21,31,16,30,23,36,45,40,37,27,12,23,18,20,30,12,12,8,21,77,11,10,11,15,""
24,21,17,22,23,32,23,35,33,30,25,20,16,14,21,28,14,20,4,11,7,11,12,13,18,""
25,21,25,26,33,45,39,39,50,39,33,21,20,11,16,23,23,14,22,57,300,33,19,20,18,""
26,42,41,27,32,29,43,43,36,35,29,89,10,5,12,12,8,10,12,11,19,6,17,20,7,""
27,34,31,29,48,35,38,43,34,32,31,23,22,22,22,17,18,16,9,20,64,14,34,35,24,""
28,24,35,36,25,29,33,35,34,41,36,22,16,19,21,-1,-1,-1,-1,0,1,7,13,19,25,""
29,29,28,30,33,29,46,51,42,46,27,26,33,21,31,14,21,15,17,9,7,11,10,21,20,""
30,36,28,32,43,34,39,44,35,34,33,39,35,83,37,46,30,26,15,15,13,14,18,25,37,""
31,47,27,51,44,54,51,61,56,63,40,30,27,37,35,41,44,26,16,30,49,25,10,21,38,""
