apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,16,11,18,27,34,36,21,24,34,49,54,61,49,66,55,50,37,29,17,23,20,28,25,17,""
02,-1,17,23,27,21,22,39,33,41,47,61,77,44,42,51,53,32,26,20,22,20,20,15,20,""
03,14,19,19,24,35,38,26,31,44,42,50,58,47,49,60,36,24,21,28,34,30,20,15,17,""
04,12,11,12,16,30,37,39,36,40,49,72,64,50,67,61,43,35,31,28,28,37,25,21,10,""
05,16,10,22,20,20,27,26,27,43,58,64,53,48,52,50,33,32,38,30,28,26,24,19,15,""
06,9,18,8,32,32,34,25,35,56,69,62,49,38,44,31,48,24,28,22,27,33,24,27,21,""
07,15,5,26,27,30,25,27,30,43,57,66,63,69,61,55,53,27,26,34,19,28,33,22,18,""
08,10,15,23,27,32,28,24,37,49,65,73,44,53,59,55,42,37,21,35,29,27,36,26,26,""
09,9,18,21,31,30,26,27,28,70,76,69,48,60,51,55,68,28,26,27,30,35,30,20,17,""
10,16,14,28,36,41,39,32,27,50,78,92,83,69,62,52,46,34,42,23,32,37,43,30,17,""
11,19,18,28,31,37,33,31,38,60,74,77,57,52,54,60,40,42,43,42,36,28,42,30,26,""
12,19,13,21,36,40,36,32,35,60,79,75,64,57,71,95,60,51,30,26,26,34,31,21,11,""
13,10,20,17,14,26,17,20,35,74,76,85,60,58,64,62,53,37,21,29,30,20,28,27,19,""
14,16,15,17,23,26,37,32,37,63,50,54,44,52,75,62,53,33,18,27,28,22,32,20,22,""
15,14,11,15,25,33,29,21,30,54,73,68,68,42,70,75,53,28,26,22,16,22,17,16,15,""
16,19,9,18,26,33,41,31,49,65,69,61,75,50,69,67,59,43,23,24,31,47,27,30,20,""
17,17,14,22,36,29,35,28,28,64,50,55,52,63,57,59,54,40,26,36,40,46,43,31,17,""
18,15,16,17,21,36,29,32,35,42,67,64,63,65,51,64,56,29,31,30,41,27,24,16,22,""
19,17,14,22,27,33,36,22,42,63,66,58,39,54,72,65,50,45,22,17,39,26,32,21,11,""
20,15,21,16,20,31,36,23,42,54,69,61,55,51,44,58,33,26,29,28,21,26,35,26,8,""
21,15,15,21,37,39,30,29,38,87,79,77,55,50,65,78,54,32,30,22,29,27,35,18,20,""
22,9,16,27,21,26,38,37,58,73,82,58,55,45,53,58,42,41,20,24,34,31,23,25,9,""
23,9,11,22,20,41,33,50,51,68,69,68,56,53,87,69,56,31,23,19,28,27,8,17,16,""
24,3,8,10,32,46,34,34,41,55,60,73,71,57,74,63,43,26,20,22,35,37,38,23,16,""
25,16,7,13,31,22,36,32,35,45,56,57,76,67,65,79,49,39,13,24,42,50,39,46,20,""
26,17,25,22,27,32,21,30,47,57,58,59,60,44,72,63,63,30,38,21,29,45,31,32,25,""
27,16,11,17,22,27,40,27,38,49,47,66,62,46,67,74,73,42,26,30,-1,32,27,26,19,""
28,16,20,15,30,30,34,23,35,51,51,44,59,57,67,73,52,54,39,24,27,32,32,39,27,""
29,18,17,21,35,52,48,34,60,53,67,53,47,74,65,80,58,41,40,19,35,28,31,26,14,""
30,13,20,19,31,41,37,34,36,56,46,50,59,56,67,71,60,51,27,30,31,27,32,13,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
