dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,30,18,31,12,16,26,21,17,22,20,19,12,20,20,12,10,12,7,8,15,21,37,27,26,""
02,21,24,21,20,25,22,24,23,16,15,21,20,15,9,17,10,7,7,11,10,10,16,24,27,""
03,19,18,22,27,20,12,26,24,18,21,17,15,16,6,7,13,20,14,10,14,35,26,20,31,""
04,22,27,16,20,18,20,20,15,18,21,16,20,12,12,6,9,12,9,18,16,17,21,16,17,""
05,20,16,20,18,29,25,15,12,16,15,14,15,11,13,13,8,9,12,12,21,17,22,25,25,""
06,26,17,25,28,17,16,17,19,18,16,19,11,23,11,12,16,11,16,12,17,14,18,17,20,""
07,24,23,20,19,21,21,19,26,18,9,19,15,10,9,4,6,8,9,6,10,10,12,13,15,""
08,17,21,25,14,19,17,18,21,12,13,9,15,17,12,8,3,6,24,12,22,21,25,29,35,""
09,20,27,23,22,27,15,16,23,20,16,12,8,10,7,10,7,9,10,15,17,22,24,38,31,""
10,27,23,20,13,25,23,20,28,23,13,19,15,11,8,9,12,6,14,11,20,28,46,28,37,""
11,22,29,21,26,23,28,28,30,18,20,14,10,11,8,14,6,8,8,20,31,37,38,43,40,""
12,34,15,29,26,32,25,20,39,24,16,12,15,17,12,11,7,11,16,10,52,51,71,85,67,""
13,49,31,27,41,38,41,39,42,49,38,21,14,14,12,12,8,16,19,44,66,71,82,65,90,""
14,92,48,50,62,74,59,59,66,46,11,24,16,13,8,14,10,15,25,29,43,51,71,61,43,""
15,50,32,24,25,29,23,27,24,26,20,19,12,15,14,9,8,9,7,14,13,27,21,19,28,""
16,27,24,21,20,22,16,11,16,15,8,11,10,15,12,11,6,9,7,14,14,19,11,23,20,""
17,16,17,14,25,11,14,10,14,16,14,14,14,9,6,5,9,5,9,6,12,15,18,13,21,""
18,18,18,19,24,21,35,25,9,9,8,11,11,13,18,11,9,8,10,5,10,22,12,26,18,""
19,17,20,27,13,21,10,17,23,18,13,13,16,16,12,8,4,6,9,1,11,17,16,18,18,""
20,24,21,17,20,15,14,18,18,14,1,20,16,8,12,9,9,11,10,6,12,18,23,23,23,""
21,14,13,21,14,13,15,15,12,11,29,14,15,10,18,8,7,9,7,10,9,17,13,14,19,""
22,21,23,24,18,16,16,21,20,22,3,13,16,10,20,15,12,9,12,6,11,9,17,20,36,""
23,41,25,11,14,18,14,17,15,14,12,11,13,13,8,5,5,6,4,2,6,11,9,13,8,""
24,13,12,16,14,7,14,11,13,15,7,6,15,11,11,9,8,7,9,7,6,15,19,16,21,""
25,13,18,17,19,16,15,18,15,19,13,11,11,12,5,8,1,5,8,8,12,12,12,21,18,""
26,13,16,26,22,15,17,18,22,16,24,11,19,11,14,13,5,7,8,16,12,16,9,18,13,""
27,15,25,17,12,14,20,19,13,8,12,15,11,11,9,5,4,7,12,6,18,10,20,32,21,""
28,21,19,20,21,15,24,16,21,17,19,17,14,13,7,17,10,8,8,10,16,16,14,21,22,""
29,20,18,20,31,21,19,16,15,15,14,20,22,13,10,7,3,8,7,12,12,12,22,22,15,""
30,11,14,21,26,22,15,16,21,21,13,17,12,12,12,6,6,8,13,8,7,11,18,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
