feb,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,26,17,21,20,20,15,24,18,9,17,13,23,10,15,11,9,11,3,10,9,13,10,14,23,""
02,16,18,31,32,23,18,22,15,22,24,25,25,9,5,6,7,8,10,10,12,8,19,31,29,""
03,28,14,23,21,31,19,23,32,18,19,16,18,18,15,13,10,13,17,12,9,14,13,20,18,""
04,29,31,30,25,34,17,29,25,17,17,28,22,13,7,10,4,8,2,2,12,6,9,19,18,""
05,23,9,14,22,26,16,17,18,10,19,24,16,11,13,9,4,5,10,11,14,18,27,20,17,""
06,19,24,17,22,22,11,17,24,22,19,15,17,14,10,5,7,8,6,8,19,27,19,11,19,""
07,32,21,27,25,18,22,15,14,24,17,15,15,18,9,8,1,6,4,6,12,12,11,26,15,""
08,22,21,21,28,26,23,29,26,22,17,10,11,14,9,8,11,8,6,5,11,9,17,24,26,""
09,30,27,25,20,14,26,29,28,17,24,23,26,19,12,25,16,10,5,8,15,19,14,27,35,""
10,21,15,24,38,25,29,18,17,14,17,21,4,7,13,8,8,9,8,11,4,13,12,11,17,""
11,19,14,31,21,25,20,16,19,15,17,13,12,6,7,5,6,6,2,19,12,22,21,22,22,""
12,23,16,26,31,25,48,34,34,26,28,29,21,14,7,19,15,16,11,15,24,13,12,24,22,""
13,20,17,24,22,24,24,22,12,23,12,20,24,18,9,9,6,8,8,10,5,13,12,11,27,""
14,22,20,20,29,24,26,30,36,32,25,22,27,18,19,13,11,23,13,13,19,27,15,19,31,""
15,23,27,23,28,20,27,18,25,19,19,24,16,14,12,11,4,8,16,12,19,14,23,20,28,""
16,34,22,16,23,29,24,31,30,28,36,22,18,30,16,20,11,11,10,9,13,28,20,33,41,""
17,47,22,32,41,33,37,43,31,63,43,33,28,20,17,22,22,11,10,17,15,15,12,24,22,""
18,26,32,30,22,15,25,20,18,9,25,15,17,7,4,10,2,4,2,6,4,13,11,25,15,""
19,23,21,19,13,19,24,26,19,18,16,20,20,14,15,3,7,9,7,8,20,7,20,17,6,""
20,4,9,8,10,12,16,29,17,19,22,23,18,12,10,6,2,2,6,7,7,15,10,20,21,""
21,24,20,26,27,17,24,21,15,16,24,22,18,12,12,11,9,6,5,8,17,5,15,22,23,""
22,38,22,18,34,18,27,15,22,13,25,18,11,14,17,16,7,9,4,14,14,12,17,16,25,""
23,25,21,21,22,19,24,18,19,14,17,16,21,20,15,17,11,10,7,14,13,16,21,21,30,""
24,30,34,29,21,19,19,19,27,30,8,24,22,20,12,7,8,4,2,10,10,23,20,24,32,""
25,41,25,18,32,32,23,16,13,20,28,17,29,27,15,12,8,10,5,8,14,15,15,24,26,""
26,26,25,32,19,12,23,22,17,19,21,20,18,11,5,14,1,5,9,12,5,9,11,24,25,""
27,19,20,19,31,25,27,20,24,18,22,22,27,17,7,8,9,18,7,7,16,6,11,30,28,""
28,31,30,36,27,25,31,25,31,19,16,25,19,15,9,11,15,20,14,13,14,29,23,29,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
