mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,72,87,106,130,144,128,151,140,141,165,127,115,101,153,105,80,73,55,41,45,40,64,78,77
02,53,90,95,135,188,146,135,177,170,142,150,136,120,145,126,97,69,40,35,36,36,74,72,86
03,80,83,107,127,156,145,144,147,182,203,204,175,142,147,111,112,54,58,32,43,51,59,67,78
04,82,84,108,143,165,173,129,135,174,164,158,135,141,128,131,89,71,55,55,46,66,75,97,75
05,80,92,109,155,166,170,170,197,175,199,177,158,164,131,119,85,80,61,43,50,61,55,63,54
06,68,67,96,130,165,163,151,146,151,141,167,137,126,171,125,87,66,45,35,38,33,60,64,63
07,68,83,93,122,146,125,128,142,163,176,136,124,142,135,114,74,61,60,45,51,57,49,68,82
08,73,90,112,137,147,162,135,166,148,151,0,0,121,135,127,86,62,55,43,53,52,61,80,66
09,76,89,94,137,163,122,131,143,151,190,173,163,135,120,130,73,75,49,50,50,60,62,82,84
10,81,116,92,140,153,142,145,142,159,205,183,154,130,118,119,90,66,47,36,41,52,70,76,73
11,89,72,80,124,140,156,147,135,167,185,172,162,153,127,131,81,72,51,46,33,50,73,56,81
12,73,83,104,135,138,128,125,142,148,150,166,141,126,110,110,85,71,40,41,31,48,60,84,63
13,60,85,92,109,132,154,134,134,156,159,187,147,132,139,106,59,55,63,51,44,51,49,60,84
14,99,91,136,130,163,153,153,135,200,185,156,134,159,159,149,96,76,56,42,49,61,73,76,84
15,82,96,112,126,154,128,139,138,158,186,152,143,113,133,103,82,70,40,40,39,49,49,65,71
16,56,84,107,124,178,163,145,165,199,187,171,160,158,164,124,101,63,47,37,53,60,56,69,89
17,78,88,89,125,150,140,149,138,169,179,191,162,130,158,127,110,63,44,52,51,56,66,80,82
18,106,83,107,141,154,175,147,176,213,174,200,147,138,144,125,101,78,56,44,43,57,82,86,79
19,73,100,120,141,158,154,164,169,184,188,168,159,164,166,143,119,78,70,47,51,49,69,58,73
20,81,90,111,140,174,152,151,144,182,186,186,170,165,175,146,91,63,53,48,50,50,68,68,76
21,77,111,101,159,146,143,167,189,187,214,193,160,147,173,156,107,84,63,59,45,46,71,74,80
22,84,88,142,138,188,156,175,156,182,200,188,171,164,155,118,112,71,58,36,34,51,80,79,71
23,93,76,125,162,159,163,175,197,182,165,171,159,174,182,167,121,68,43,42,50,50,59,63,82
24,74,95,125,158,150,133,165,194,200,217,200,182,176,175,181,153,91,66,59,41,54,49,64,71
25,102,94,131,152,140,158,161,161,217,174,181,168,136,141,167,117,84,51,45,43,42,51,72,63
26,92,104,119,139,146,144,162,164,195,169,172,153,161,165,137,98,65,62,43,60,51,63,64,75
27,84,116,122,135,149,162,174,154,164,178,181,172,153,148,127,92,77,49,52,58,59,52,63,63
28,73,92,112,121,144,169,141,161,191,177,172,156,141,172,142,100,69,55,40,40,36,64,63,77
29,57,82,107,143,147,121,155,151,186,162,170,167,170,171,134,121,68,46,51,51,40,53,66,70
30,74,110,123,130,142,177,138,167,175,203,172,159,158,206,151,106,80,60,44,37,48,52,67,73
31,102,94,115,147,147,131,142,157,203,189,168,130,143,160,158,117,58,42,37,45,47,51,64,56
